date,portfolio_value
2010-09-30,100052.61199289364
2010-10-01,99281.59784835143
2010-10-04,99501.99377512623
2010-10-05,98919.83840686388
2010-10-06,100290.40362265581
2010-10-07,100200.49523875333
2010-10-08,99970.82303150353
2010-10-11,100225.86914677134
2010-10-12,100035.98867670949
2010-10-13,100621.60631885738
2010-10-14,101573.06933633592
2010-10-15,100956.68589633699
2010-10-18,101423.18396177179
2010-10-19,101549.58664248137
2010-10-20,100743.78809117425
2010-10-21,101557.4303936274
2010-10-22,101871.31677579902
2010-10-25,102137.84463397485
2010-10-26,102184.70520858046
2010-10-27,102362.13293167543
2010-10-28,101873.49002301724
2010-10-29,101907.56504787091
2010-11-01,101749.45917047697
2010-11-02,102536.69283837236
2010-11-03,102831.54024570246
2010-11-04,103122.4520454813
2010-11-05,104785.8908025724
2010-11-08,104869.13562916205
2010-11-09,104585.53939556533
2010-11-10,104180.63237056966
2010-11-11,104337.79191064472
2010-11-12,104315.93244425708
2010-11-15,103547.42078378782
2010-11-16,103150.51685048638
2010-11-17,101875.30152971699
2010-11-18,101536.75178906672
2010-11-19,102618.96833850232
2010-11-22,103202.58527256276
2010-11-23,103652.78123187812
2010-11-24,102551.12765020387
2010-11-26,104244.7069390291
2010-11-29,102673.75636609296
2010-11-30,102627.53232448766
2010-12-01,101382.72163558382
2010-12-02,102889.34521412707
2010-12-03,103522.53924821012
2010-12-06,103762.70146184052
2010-12-07,103981.91349773036
2010-12-08,103911.18632180663
2010-12-09,104023.45800643247
2010-12-10,104897.2433591157
2010-12-13,105373.25614717045
2010-12-14,105588.61784997825
2010-12-15,105343.92272461075
2010-12-16,105233.73175043434
2010-12-17,105325.12413459488
2010-12-20,105063.98748413852
2010-12-21,105020.87886136663
2010-12-22,105560.62718173405
2010-12-23,105974.04417460276
2010-12-27,106000.02835661342
2010-12-28,105966.2460382648
2010-12-29,105921.48232612414
2010-12-30,105926.38029861101
2010-12-31,105026.02601336391
2011-01-03,105324.63118192158
2011-01-04,105212.87147295469
2011-01-05,105031.2598035627
2011-01-06,105565.69553466047
2011-01-07,105373.55470003643
2011-01-10,105307.88218192606
2011-01-11,105092.06368521097
2011-01-12,105237.29029265467
2011-01-13,106310.04500511619
2011-01-14,106274.89046034752
2011-01-18,106722.33343698407
2011-01-19,106003.57422652183
2011-01-20,104933.26079566614
2011-01-21,104394.60019687412
2011-01-24,104868.6355940189
2011-01-25,105978.644905677
2011-01-26,106474.58607599179
2011-01-27,107019.56966076331
2011-01-28,106606.48016114037
2011-01-31,104508.13929665231
2011-02-01,105131.05735999416
2011-02-02,106636.83233978818
2011-02-03,106541.0227962514
2011-02-04,106160.66633093457
2011-02-07,106554.0930157862
2011-02-08,106884.77020841977
2011-02-09,107017.50694620261
2011-02-10,106752.75901013074
2011-02-11,107031.6244883499
2011-02-14,107354.30068624923
2011-02-15,107558.22880146898
2011-02-16,107171.1179590445
2011-02-17,107844.6110852195
2011-02-18,108519.47238805924
2011-02-22,108823.14491318063
2011-02-23,106112.59896537189
2011-02-24,105809.45026172603
2011-02-25,106583.68565776786
2011-02-28,107117.80194162134
2011-03-01,108028.32803261964
2011-03-02,106598.63456002277
2011-03-03,106641.51158947757
2011-03-04,108287.52737926999
2011-03-07,107313.71301417367
2011-03-08,107135.19781324806
2011-03-09,108383.80494077716
2011-03-10,107916.91215345691
2011-03-11,105410.7987196815
2011-03-14,105946.8374957269
2011-03-15,105388.88616154582
2011-03-16,104915.63713786738
2011-03-17,102454.61667548845
2011-03-18,104145.58040155277
2011-03-21,104759.21953117782
2011-03-22,106470.63020420412
2011-03-23,105805.07977240939
2011-03-24,105399.25937587138
2011-03-25,106475.43487957385
2011-03-28,106538.48898365963
2011-03-29,106059.79154826215
2011-03-30,106851.14779006664
2011-03-31,108393.27361159734
2011-04-01,108440.68476611271
2011-04-04,109377.94766451686
2011-04-05,109286.74607468201
2011-04-06,109388.85066402626
2011-04-07,109235.51586127953
2011-04-08,108272.71591098158
2011-04-11,108022.02148925269
2011-04-12,107401.49841246264
2011-04-13,106595.13451918834
2011-04-14,107095.96364199284
2011-04-15,107533.61597140328
2011-04-18,107690.7539903926
2011-04-19,106261.9033401465
2011-04-20,106625.24056148475
2011-04-21,107587.9037409346
2011-04-25,107928.02236572532
2011-04-26,108107.77197743011
2011-04-27,108713.2042748975
2011-04-28,109954.97237408515
2011-04-29,110468.69988016301
2011-05-02,110075.78642712085
2011-05-03,109921.1104921497
2011-05-04,109440.08548615868
2011-05-05,109393.70591893232
2011-05-06,108363.72828703855
2011-05-09,109009.14282402117
2011-05-10,109480.4245597013
2011-05-11,109836.19765812345
2011-05-12,109266.77226631423
2011-05-13,108974.28243389317
2011-05-16,108085.86910781218
2011-05-17,107204.76955104513
2011-05-18,107392.3111626066
2011-05-19,108284.4288368265
2011-05-20,108854.8312040943
2011-05-23,107879.00975322221
2011-05-24,106332.43112672982
2011-05-25,106657.69990713403
2011-05-26,107272.69269057426
2011-05-27,107786.66864194034
2011-05-31,110267.15252092047
2011-06-01,111204.70205331985
2011-06-02,108853.07871214977
2011-06-03,108809.09602858253
2011-06-06,108358.77539583988
2011-06-07,107702.03587369666
2011-06-08,108155.99322721042
2011-06-09,107065.82238778494
2011-06-10,108183.05375083094
2011-06-13,106871.38012262274
2011-06-14,106917.85574948337
2011-06-15,108606.99730109834
2011-06-16,107346.98529849839
2011-06-17,107295.5617947127
2011-06-20,107733.23261843415
2011-06-21,107499.9529859518
2011-06-22,108907.58098197653
2011-06-23,108409.7449879579
2011-06-24,109358.42250250361
2011-06-27,108161.76606447797
2011-06-28,108488.42316678852
2011-06-29,109450.6138661031
2011-06-30,109858.70127931547
2011-07-01,110671.07486599637
2011-07-05,112582.5801178037
2011-07-06,112992.16632028215
2011-07-07,113125.54980999853
2011-07-08,114200.32678911588
2011-07-11,113848.82371747708
2011-07-12,112736.17673360095
2011-07-13,112624.30838995836
2011-07-14,112437.37027488156
2011-07-15,111690.85287825957
2011-07-18,111805.34713384854
2011-07-19,110922.28710929175
2011-07-20,112410.64735054492
2011-07-21,111869.40282027796
2011-07-22,112354.95090939476
2011-07-25,111744.1506942707
2011-07-26,110676.83405055817
2011-07-27,109934.8354493598
2011-07-28,108295.02791417587
2011-07-29,108278.5397504363
2011-08-01,108319.63757524983
2011-08-02,108083.41788515382
2011-08-03,105826.54497414081
2011-08-04,103962.99125729885
2011-08-05,102083.19035164009
2011-08-08,101270.00557140491
2011-08-09,100273.49559003174
2011-08-10,101710.73428435592
2011-08-11,100222.53865930352
2011-08-12,101375.65802428141
