date,portfolio_value
2025-01-02,4882437.2613422265
2025-01-03,4864446.968607028
2025-01-06,4860259.277046573
2025-01-07,4855853.990134675
2025-01-08,4811601.209082841
2025-01-10,4762183.517783319
2025-01-13,4682341.096669747
2025-01-14,4683176.6429818515
2025-01-15,4688089.312898995
2025-01-16,4783196.309351418
2025-01-17,4757171.990478262
2025-01-21,4808870.731586745
2025-01-22,4807945.837957985
2025-01-23,4831444.78349128
2025-01-24,4866885.802704355
2025-01-27,4954517.391058245
2025-01-28,4827887.351626844
2025-01-29,4871108.9351638565
2025-01-30,4843881.770496156
2025-01-31,4868493.489567467
2025-02-03,4836845.988897652
2025-02-04,4816503.792468863
2025-02-05,4857311.9106267495
2025-02-06,4900679.007823323
2025-02-07,4909646.112056054
2025-02-10,4840464.140855059
2025-02-11,4879651.620821612
2025-02-12,4818578.416442787
2025-02-13,4820218.293675879
2025-02-14,4848530.540275303
2025-02-18,4827346.425459589
2025-02-19,4820424.144670784
2025-02-20,4835914.3457754655
2025-02-21,4874588.755239647
2025-02-24,4859891.832288234
2025-02-25,4909100.896066502
2025-02-26,4874994.703374229
2025-02-27,4897329.341044823
2025-02-28,4799561.764789478
2025-03-03,4846145.508417767
2025-03-04,4805329.814735144
2025-03-05,4761760.106461086
2025-03-06,4804643.335796761
2025-03-07,4825990.8657806115
2025-03-10,4812737.538395782
2025-03-11,4672315.012519283
2025-03-12,4620069.908747302
2025-03-13,4665471.082393432
2025-03-14,4587328.701589553
2025-03-17,4654607.9524392085
2025-03-18,4710638.564290474
2025-03-19,4678999.755777323
2025-03-20,4731587.357691851
2025-03-21,4697086.109930714
2025-03-24,4712329.646745781
2025-03-25,4738892.8547342345
2025-03-26,4794435.558222976
2025-03-27,4758941.074490477
2025-03-28,4769277.112165471
2025-03-31,4690151.27625246
2025-04-01,4713503.269120879
2025-04-02,4739931.09828722
2025-04-03,4711760.859385803
2025-04-04,4553676.775349552
2025-04-07,4485930.513694802
2025-04-08,4483550.780168441
2025-04-09,4423527.806802166
2025-04-10,4526606.233654365
2025-04-11,4480561.582819136
2025-04-14,4503383.169260072
2025-04-15,4517830.8069460215
2025-04-16,4540340.829176267
2025-04-17,4533242.6679193685
2025-04-21,4545668.39061391
2025-04-22,4527522.497038062
2025-04-23,4546260.410261294
2025-04-24,4551075.862478536
2025-04-25,4563347.053731945
2025-04-28,4571435.783374954
2025-04-29,4580338.364330992
2025-04-30,4569365.807329489
2025-05-01,4574091.036423042
2025-05-02,4582561.703235352
2025-05-05,4592134.503729155
2025-05-06,4591414.400994712
2025-05-07,4589159.256027874
2025-05-08,4600359.424804678
2025-05-09,4612770.892414156
2025-05-12,4609576.758437521
2025-05-13,4644540.430196813
2025-05-14,4646078.757239565
2025-05-15,4655854.121499138
2025-05-16,4660576.90494013
2025-05-19,4673195.443676008
2025-05-20,4683971.287547699
2025-05-21,4672930.779494057
2025-05-22,4656223.370317224
2025-05-23,4663514.5643529
2025-05-27,4673929.846763065
