date,portfolio_value
2011-01-03,100007.93650793651
2011-01-04,100015.8736457546
2011-01-05,100023.81141350427
2011-01-06,100031.7498112355
2011-01-07,100039.68883899829
2011-01-10,100047.62849684266
2011-01-11,100055.5687848186
2011-01-12,100063.50970297614
2011-01-13,100071.45125136526
2011-01-14,100079.393430036
2011-01-18,100087.33623903838
2011-01-19,100095.27967842243
2011-01-20,100103.22374823818
2011-01-21,100111.16844853565
2011-01-24,100119.1137793649
2011-01-25,100127.05974077596
2011-01-26,100135.00633281888
2011-01-27,100142.95355554372
2011-01-28,100150.90140900051
2011-01-31,100063.50593333285
2011-02-01,99789.13787918988
2011-02-02,100564.69411613682
2011-02-03,100505.38885722922
2011-02-04,100168.43438523957
2011-02-07,100584.67158026034
2011-02-08,100664.61146247417
2011-02-09,100858.22206842492
2011-02-10,100924.71005227555
2011-02-11,101270.54053536498
2011-02-14,101698.85312244602
2011-02-15,101708.75238197105
2011-02-16,101778.07290002568
2011-02-17,101929.91131796918
2011-02-18,102196.44192730753
2011-02-22,101948.22005713136
2011-02-23,101110.34945882467
2011-02-24,101070.52520491107
2011-02-25,101130.94881113914
2011-02-28,101266.01322458056
2011-03-01,102048.05033341052
2011-03-02,101061.37555689644
2011-03-03,100876.74925005696
2011-03-04,101606.62242340842
2011-03-07,101133.0502626159
2011-03-08,100954.50869595355
2011-03-09,101382.33553262554
2011-03-10,101595.52992476529
2011-03-11,100558.68975667922
2011-03-14,101042.5018689944
2011-03-15,101193.73182780598
2011-03-16,100976.73103414166
2011-03-17,100235.69329240291
2011-03-18,100678.68441393621
2011-03-21,100799.8048672162
2011-03-22,101200.413117428
2011-03-23,100955.53805245759
2011-03-24,100836.02297938241
2011-03-25,101121.27517825078
2011-03-28,101227.16399979436
2011-03-29,101264.26113037762
2011-03-30,101595.9249497964
2011-03-31,101823.97500803524
2011-04-01,102109.94828705961
2011-04-04,102354.14208861448
2011-04-05,102375.5855221833
2011-04-06,102516.92599992854
2011-04-07,102379.0764391101
2011-04-08,102176.22506045827
2011-04-11,102054.16435293069
2011-04-12,101846.54600677697
2011-04-13,101433.3671381062
2011-04-14,101600.18514865907
2011-04-15,101793.66305547023
2011-04-18,101990.92794353548
2011-04-19,100819.04843902834
2011-04-20,100737.38313710976
2011-04-21,101439.85052839511
2011-04-25,101575.19268184494
2011-04-26,101887.93333443746
2011-04-27,101965.81335278161
2011-04-28,102295.85151126797
2011-04-29,102263.40114058777
2011-05-02,102091.82953469851
2011-05-03,102024.82376063781
2011-05-04,101560.79389591492
2011-05-05,101316.95624295592
2011-05-06,100833.10239976527
2011-05-09,101116.04845341203
2011-05-10,101320.53674537249
2011-05-11,101424.08128021834
2011-05-12,101133.41268185443
2011-05-13,100878.93809495313
2011-05-16,100158.26626254522
2011-05-17,100009.0904988966
2011-05-18,99835.71855309597
2011-05-19,100297.67574198998
2011-05-20,100294.77518789799
2011-05-23,99670.26490410716
2011-05-24,99003.0165001735
2011-05-25,98926.27524357993
2011-05-26,98428.21364944949
2011-05-27,98777.2195249247
2011-05-31,98848.07221198962
2011-06-01,97223.46682674497
2011-06-02,96407.41034311938
2011-06-03,96170.27479067544
2011-06-06,96057.25571869794
2011-06-07,95948.46818930889
2011-06-08,95899.65577375247
2011-06-09,95607.70504816213
2011-06-10,95751.56285244142
2011-06-13,95519.02795535981
2011-06-14,95619.47498483035
2011-06-15,95940.33485640601
2011-06-16,95747.90318969617
2011-06-17,95871.23552066064
2011-06-20,95875.08147813249
2011-06-21,95409.05967012457
2011-06-22,95830.61342904005
2011-06-23,95634.63978722357
2011-06-24,95837.73346804865
2011-06-27,95540.68020659644
2011-06-28,95545.34203055807
2011-06-29,96023.33043780252
2011-06-30,96157.587010617
2011-07-01,96278.08343826576
2011-07-05,96477.40998795001
2011-07-06,96589.83886920134
2011-07-07,96596.5870076746
2011-07-08,96750.45953035056
2011-07-11,96651.2233732826
2011-07-12,96580.8139173638
2011-07-13,96499.4253004129
2011-07-14,96425.29440158966
2011-07-15,96267.18107277717
2011-07-18,96314.35762864917
2011-07-19,96127.23849609266
2011-07-20,96493.20177627997
2011-07-21,96416.24826921201
2011-07-22,96746.97313636969
2011-07-25,96751.0049704099
2011-07-26,96614.35063338924
2011-07-27,96419.86076471063
2011-07-28,95986.66975598625
2011-07-29,96161.69931159176
2011-08-01,96077.19334903914
2011-08-02,96200.99363057558
2011-08-03,95699.60240961266
2011-08-04,95546.94927607104
2011-08-05,94740.54147804422
2011-08-08,92927.22888377843
2011-08-09,92934.60406067397
2011-08-10,92941.979822901
2011-08-11,92717.6762707838
2011-08-12,92880.87883796422
2011-08-15,93018.6127033687
2011-08-16,93254.05080238133
2011-08-17,93180.53680049507
2011-08-18,93309.68888266388
2011-08-19,93137.6666191055
2011-08-22,93068.829256431
2011-08-23,93073.29352687787
2011-08-24,93278.7918923222
2011-08-25,93262.28465701165
2011-08-26,93269.68642563523
2011-08-29,93277.08878170076
2011-08-30,93284.49172525486
2011-08-31,93076.58251751808
2011-09-01,92806.79860262969
2011-09-02,91344.94619080832
2011-09-06,89981.65735292916
2011-09-07,89952.1691568629
2011-09-08,90672.25522888925
2011-09-09,90805.59764558963
2011-09-12,89518.85387435919
2011-09-13,89917.69498107792
2011-09-14,90698.66503740844
2011-09-15,91130.66990989575
2011-09-16,92114.26157965719
2011-09-19,91517.75099310589
2011-09-20,90487.14651785036
2011-09-21,89443.44060619101
2011-09-22,88672.03449206578
2011-09-23,88371.33266523432
2011-09-26,87592.28029484517
2011-09-27,88719.2938221866
2011-09-28,88695.62503333879
2011-09-29,88613.20295031881
2011-09-30,89185.9023555007
2011-10-03,86982.79296048837
2011-10-04,87279.6991783287
2011-10-05,87890.1970659637
2011-10-06,88553.04174908219
2011-10-07,88640.8057398829
2011-10-10,88037.1538019742
2011-10-11,90008.01902133811
2011-10-12,90332.97377528477
2011-10-13,90772.53327674713
2011-10-14,90792.25416341286
2011-10-17,91575.11056536439
2011-10-18,90770.82951857694
2011-10-19,92267.96273476853
2011-10-20,91754.84870007605
2011-10-21,91599.15186278587
2011-10-24,93723.3891649815
2011-10-25,94505.01114801111
2011-10-26,93569.163046739
2011-10-27,95108.73817436937
2011-10-28,97123.16887995334
