date,portfolio_value
2011-01-03,100007.93650793651
2011-01-04,100015.8736457546
2011-01-05,100023.81141350427
2011-01-06,100031.7498112355
2011-01-07,100039.68883899829
2011-01-10,100047.62849684266
2011-01-11,100055.5687848186
2011-01-12,100063.50970297614
2011-01-13,100071.45125136526
2011-01-14,100079.393430036
2011-01-18,100087.33623903838
2011-01-19,100095.27967842243
2011-01-20,100103.22374823818
2011-01-21,100111.16844853565
2011-01-24,100119.1137793649
2011-01-25,100127.05974077596
2011-01-26,100135.00633281888
2011-01-27,100142.95355554372
2011-01-28,100150.90140900051
2011-01-31,100158.84989323931
2011-02-01,100258.83265025253
2011-02-02,100478.42224548415
2011-02-03,100609.8233974152
2011-02-04,100343.48209486366
2011-02-07,100823.75438733227
2011-02-08,100878.63727907775
2011-02-09,100755.91931756401
2011-02-10,100943.71778484354
2011-02-11,101552.85493164536
2011-02-14,101814.66610418889
2011-02-15,101549.86970465086
2011-02-16,102111.07661050287
2011-02-17,102044.26530457582
2011-02-18,102272.2648997858
2011-02-22,101264.2049087733
2011-02-23,100901.96353985145
2011-02-24,101050.43717479275
2011-02-25,101470.41577613793
2011-02-28,101601.49520245413
2011-03-01,101213.09270846834
2011-03-02,101148.19153978548
2011-03-03,101574.81202108548
2011-03-04,101327.21337291485
2011-03-07,100889.88155485864
2011-03-08,101294.62118302789
2011-03-09,101341.34621156388
2011-03-10,100823.16523440756
2011-03-11,100871.10080784379
2011-03-14,100750.56869089873
2011-03-15,100759.27751509202
2011-03-16,100268.44629498114
2011-03-17,100509.51674194373
2011-03-18,100660.46937408246
2011-03-21,101240.45908236169
2011-03-22,101104.54013008106
2011-03-23,101036.10457671061
2011-03-24,101060.97133272322
2011-03-25,101245.89079412264
2011-03-28,101133.838306046
2011-03-29,101434.06222732051
2011-03-30,101775.93948724435
2011-03-31,101779.31378914931
2011-04-01,102226.99015212755
2011-04-04,102378.17112877211
2011-04-05,102371.5472588269
2011-04-06,102652.8786648701
2011-04-07,102306.47165701594
2011-04-08,102087.87787092038
2011-04-11,101953.46583092751
2011-04-12,101591.55592885152
2011-04-13,101432.1220967647
2011-04-14,101627.58671824612
2011-04-15,101960.57352803863
2011-04-18,101377.49453614926
2011-04-19,101117.93690739071
2011-04-20,101344.08780677142
2011-04-21,101635.14730948504
2011-04-25,101540.57646128145
2011-04-26,102331.47862197165
2011-04-27,102279.44716329809
2011-04-28,102431.96630460797
2011-04-29,102336.03153978125
2011-05-02,102030.25029529928
2011-05-03,101836.70114182153
2011-05-04,101277.43972481307
2011-05-05,100975.80102704596
2011-05-06,100969.66805279232
2011-05-09,101221.83502975733
2011-05-10,101637.85021575484
2011-05-11,101199.36626606481
2011-05-12,101361.22210646872
2011-05-13,100584.02920392442
2011-05-16,99988.02908342835
2011-05-17,100005.36231738771
2011-05-18,100209.85406978488
2011-05-19,100410.18760961291
2011-05-20,99874.31205857219
2011-05-23,99109.79769837567
2011-05-24,98964.90493622399
2011-05-25,99088.7458492715
2011-05-26,98613.59125014869
2011-05-27,98912.5595367387
2011-05-31,99253.7114128705
2011-06-01,96491.04167931195
2011-06-02,96377.29559519203
2011-06-03,95921.91218974175
2011-06-06,95792.55025644829
2011-06-07,95933.99094553219
2011-06-08,95816.27799803513
2011-06-09,95761.09085412258
2011-06-10,95529.64056454008
2011-06-13,95532.16573034081
2011-06-14,95825.3806037269
2011-06-15,95653.17971680724
2011-06-16,95777.67691745453
2011-06-17,95833.39359086275
2011-06-20,95993.38227211863
2011-06-21,95794.28031729245
2011-06-22,95688.41023376289
2011-06-23,95568.05526460844
2011-06-24,95567.25264929586
2011-06-27,95747.55335802524
2011-06-28,95848.74420898593
2011-06-29,96156.53367882122
2011-06-30,96308.62090797623
2011-07-01,96514.62271024054
2011-07-05,96465.0271949499
2011-07-06,96609.63165907917
2011-07-07,96733.64128623258
2011-07-08,96659.06521076543
2011-07-11,96423.85983271369
2011-07-12,96526.6403177989
2011-07-13,96555.77244872708
2011-07-14,96312.98313839748
2011-07-15,96364.12663599892
2011-07-18,96174.08589359802
2011-07-19,96407.33499968144
2011-07-20,96476.38005843092
2011-07-21,96880.2428973281
2011-07-22,96762.70536591992
2011-07-25,96665.9205882949
2011-07-26,96515.46285930832
2011-07-27,95886.88595661442
2011-07-28,95911.37305810963
2011-07-29,95952.92976079052
2011-08-01,95949.62014617553
2011-08-02,95434.51198214799
2011-08-03,95862.17045119405
2011-08-04,94787.56911813952
2011-08-05,94712.79047160543
2011-08-08,92927.22888377843
2011-08-09,92934.60406067397
2011-08-10,92941.979822901
2011-08-11,92949.356170506
2011-08-12,92915.56209283214
2011-08-15,93131.55735525722
2011-08-16,93207.2338791671
2011-08-17,93184.38807746593
2011-08-18,93080.93389168661
2011-08-19,93055.1041784896
2011-08-22,93073.06258959115
2011-08-23,93247.26401800904
2011-08-24,93354.78907360235
2011-08-25,93262.28465701165
2011-08-26,93269.68642563523
2011-08-29,93277.08878170076
2011-08-30,93284.49172525486
2011-08-31,93291.89525634417
2011-09-01,92141.31664735907
2011-09-02,90047.49729489844
2011-09-06,89682.46389313639
2011-09-07,91147.32254533829
2011-09-08,90242.9413736721
2011-09-09,89332.89327113997
2011-09-12,89831.66402161775
2011-09-13,90426.95562977114
2011-09-14,91493.34428253514
2011-09-15,92061.89129918124
2011-09-16,92155.49775960561
2011-09-19,91010.97734752885
2011-09-20,90430.53073308771
2011-09-21,88826.6469972663
2011-09-22,88430.33342426339
2011-09-23,88484.76552352446
2011-09-26,88587.43943093745
2011-09-27,89324.26452490807
2011-09-28,87642.7616653265
2011-09-29,89031.0623803185
2011-09-30,87956.30476750196
2011-10-03,86177.98889554344
2011-10-04,88385.8164823792
2011-10-05,88810.52035361624
2011-10-06,89575.32525625359
2011-10-07,88280.73380774126
2011-10-10,89881.23145156963
2011-10-11,90060.48364986331
2011-10-12,90751.96086851225
2011-10-13,90672.34045709264
2011-10-14,91702.37720301002
2011-10-17,90595.34226144105
2011-10-18,91900.30944965512
2011-10-19,91549.0036522421
2011-10-20,92012.37287168362
2011-10-21,92727.87958339204
2011-10-24,94488.05950195983
2011-10-25,93308.9816162126
2011-10-26,94221.34103694512
2011-10-27,97268.31818619047
2011-10-28,97112.40870166784
