date,portfolio_value
2011-02-28,985852.3274997358
2011-03-01,988126.7970709102
2011-03-02,978704.3779469973
2011-03-03,977985.0295904608
2011-03-04,1007610.2371969143
2011-03-07,995501.3838857709
2011-03-08,983952.0878284387
2011-03-09,982049.3162381081
2011-03-10,976558.4185009979
2011-03-11,941946.1583675239
2011-03-14,951386.5588677914
2011-03-15,946672.0833190134
2011-03-16,948205.1448790419
2011-03-17,917142.7713837399
2011-03-18,947299.1039590576
2011-03-21,950423.3066331609
2011-03-22,973608.7141528673
2011-03-23,976305.1691918059
2011-03-24,979517.6254348026
2011-03-25,991988.0995345397
2011-03-28,1005516.6446662281
2011-03-29,1008253.6529019901
2011-03-30,1020577.6176326139
2011-03-31,1031787.4820227078
2011-04-01,1023033.5358725552
2011-04-04,1025511.3372972091
2011-04-05,1030496.9939596376
2011-04-06,1026619.0037881386
2011-04-07,1025758.7388266331
2011-04-08,1019853.8881340538
2011-04-11,1009444.0343732624
2011-04-12,998576.3738788422
2011-04-13,1004241.8416007693
2011-04-14,1009887.8917919404
2011-04-15,1018049.1640366329
2011-04-18,1016385.7534525193
2011-04-19,1004187.9458686402
2011-04-20,1015314.1446413223
2011-04-21,1033616.3593049888
2011-04-25,1040635.1159625758
2011-04-26,1035473.6046857015
2011-04-27,1045874.2739398372
2011-04-28,1046671.6865330867
2011-04-29,1051481.363683261
2011-05-02,1035763.9197952925
2011-05-03,1018856.3984285068
2011-05-04,1007201.284508788
2011-05-05,987004.5177632717
2011-05-06,984600.1396555979
2011-05-09,994675.7815386407
2011-05-10,1008788.022640648
2011-05-11,1011043.948534353
2011-05-12,1002895.2234061637
2011-05-13,1005342.1865661896
2011-05-16,973782.2040554291
2011-05-17,954946.3692440034
2011-05-18,962699.415902646
2011-05-19,969889.1362780253
2011-05-20,980377.4119461281
2011-05-23,970196.9975869568
2011-05-24,956010.276964763
2011-05-25,958627.7236339775
2011-05-26,963572.714950689
2011-05-27,976926.2124109042
2011-05-31,968442.0569833575
2011-06-01,985647.5408035314
2011-06-02,941805.6671099598
2011-06-03,956182.2355721558
2011-06-06,927727.8577412321
2011-06-07,917218.3500601707
2011-06-08,904656.4729441352
2011-06-09,899680.2364035355
2011-06-10,925001.386885375
2011-06-13,893239.8913364569
2011-06-14,900395.087590905
2011-06-15,922219.7009724453
2011-06-16,890021.4698071718
2011-06-17,893359.9451081131
2011-06-20,893517.7724291711
2011-06-21,912259.4263201465
2011-06-22,936738.9771158523
2011-06-23,924712.5361767323
2011-06-24,937200.7630585637
2011-06-27,908291.5483967793
2011-06-28,918941.5753131725
2011-06-29,928158.6979035739
2011-06-30,933608.8905709139
2011-07-01,943904.6674769266
2011-07-05,980363.1388230267
2011-07-06,980419.4041200719
2011-07-07,978492.2285723279
2011-07-08,1001796.4347755325
2011-07-11,990290.3097238811
