date,n_selected,n_bank,bank_fraction
2010-09-30,25,1,0.04
2010-12-31,69,10,0.14492753623188406
2011-03-31,72,10,0.1388888888888889
2011-06-30,71,10,0.14084507042253522
2011-09-30,90,13,0.14444444444444443
2011-12-30,93,13,0.13978494623655913
2012-03-30,86,12,0.13953488372093023
2012-06-29,90,13,0.14444444444444443
2012-09-28,92,13,0.14130434782608695
2012-12-31,93,13,0.13978494623655913
2013-03-28,86,12,0.13953488372093023
2013-06-28,87,13,0.14942528735632185
2013-09-30,88,13,0.14772727272727273
2013-12-31,93,13,0.13978494623655913
2014-03-31,90,13,0.14444444444444443
2014-06-30,87,13,0.14942528735632185
2014-09-30,92,13,0.14130434782608695
2014-12-31,94,14,0.14893617021276595
2015-03-31,88,13,0.14772727272727273
2015-06-30,76,11,0.14473684210526316
2015-09-30,75,11,0.14666666666666667
2015-12-31,86,12,0.13953488372093023
2016-03-31,81,12,0.14814814814814814
2016-06-30,79,11,0.13924050632911392
2016-09-30,78,11,0.14102564102564102
2016-12-30,78,11,0.14102564102564102
2017-03-31,76,11,0.14473684210526316
2017-06-30,72,10,0.1388888888888889
2017-09-29,71,10,0.14084507042253522
2017-12-29,76,11,0.14473684210526316
2018-03-29,75,11,0.14666666666666667
2018-06-29,69,10,0.14492753623188406
2018-09-28,69,10,0.14492753623188406
2018-12-31,73,10,0.136986301369863
2019-03-29,71,10,0.14084507042253522
2019-06-28,63,9,0.14285714285714285
2019-09-30,60,9,0.15
2019-12-31,62,9,0.14516129032258066
2020-03-31,58,8,0.13793103448275862
2020-06-30,57,8,0.14035087719298245
2020-09-30,57,8,0.14035087719298245
2020-12-31,66,9,0.13636363636363635
2021-03-31,70,10,0.14285714285714285
2021-06-30,64,9,0.140625
2021-09-30,63,9,0.14285714285714285
2021-12-31,64,9,0.140625
2022-03-31,62,9,0.14516129032258066
2022-06-30,51,7,0.13725490196078433
2022-09-30,44,6,0.13636363636363635
2022-12-30,40,6,0.15
2023-03-31,37,5,0.13513513513513514
2023-06-30,31,4,0.12903225806451613
2023-09-29,29,4,0.13793103448275862
2023-12-29,26,3,0.11538461538461539
2024-03-28,25,3,0.12
2024-06-28,20,3,0.15
2024-09-30,17,2,0.11764705882352941
2024-12-31,16,2,0.125
