date,n_pre_filter,n_stale_excluded,n_eligible_post_filter,n_top
2010-09-30,255,3,252,25
2010-12-31,696,26,670,67
2011-03-31,722,30,692,69
2011-06-30,715,34,681,68
2011-09-30,901,18,883,88
2011-12-30,931,20,911,91
2012-03-30,862,30,832,83
2012-06-29,904,25,879,87
2012-09-28,927,35,892,89
2012-12-31,937,43,894,89
2013-03-28,862,44,818,81
2013-06-28,879,41,838,83
2013-09-30,884,37,847,84
2013-12-31,933,46,887,88
2014-03-31,904,34,870,87
2014-06-30,872,32,840,84
2014-09-30,920,40,880,88
2014-12-31,940,32,908,90
2015-03-31,889,26,863,86
2015-06-30,765,32,733,73
2015-09-30,755,22,733,73
2015-12-31,869,27,842,84
2016-03-31,813,30,783,78
2016-06-30,795,29,766,76
2016-09-30,787,42,745,74
2016-12-30,781,70,711,71
2017-03-31,765,111,654,65
2017-06-30,722,109,613,61
2017-09-29,712,117,595,59
2017-12-29,762,112,650,65
2018-03-29,758,88,670,67
2018-06-29,699,84,615,61
2018-09-28,693,96,597,59
2018-12-31,738,42,696,69
2019-03-29,710,19,691,69
2019-06-28,632,14,618,61
2019-09-30,602,16,586,58
2019-12-31,626,22,604,60
2020-03-31,586,17,569,56
2020-06-30,578,15,563,56
2020-09-30,577,15,562,56
2020-12-31,665,26,639,63
2021-03-31,706,27,679,67
2021-06-30,647,15,632,63
2021-09-30,634,27,607,60
2021-12-31,643,31,612,61
2022-03-31,623,29,594,59
2022-06-30,518,15,503,50
2022-09-30,444,11,433,43
2022-12-30,408,11,397,39
2023-03-31,377,12,365,36
2023-06-30,318,13,305,30
2023-09-29,296,9,287,28
2023-12-29,265,9,256,25
2024-03-28,252,11,241,24
2024-06-28,203,4,199,19
2024-09-30,173,9,164,16
2024-12-31,167,7,160,16
