,portfolio_value
2010-10-01,0.9984736293778684
2010-10-04,0.9957829754868357
2010-10-05,1.0032535552119621
2010-10-06,1.0093731345085057
2010-10-07,1.0085981185047082
2010-10-08,1.0101620541133227
2010-10-11,1.0120238159468502
2010-10-12,1.012779240745507
2010-10-13,1.0192416401754607
2010-10-14,1.0213627425583451
2010-10-15,1.019587382945291
2010-10-18,1.0241502506564495
2010-10-19,1.0180573388408907
2010-10-20,1.0188183979178946
2010-10-21,1.0241732939866959
2010-10-22,1.0266974704099807
2010-10-25,1.0291528680970021
2010-10-26,1.0294905366758855
2010-10-27,1.0285967217871121
2010-10-28,1.0270288254584417
2010-10-29,1.0277130227970233
2010-11-01,1.026779894791101
2010-11-02,1.0343378315775134
2010-11-03,1.037957219183416
2010-11-04,1.0498555581345639
2010-11-05,1.0593618963371545
2010-11-08,1.0587468631336767
2010-11-09,1.0535870725329177
2010-11-10,1.053722766803084
2010-11-11,1.052287907846666
2010-11-12,1.045784634933816
2010-11-15,1.0413330751941279
2010-11-16,1.0310835340997384
2010-11-17,1.025448374441621
2010-11-18,1.0314776323857808
2010-11-19,1.038036577385237
2010-11-22,1.0404549374720347
2010-11-23,1.0345673561701254
2010-11-24,1.0374178385122947
2010-11-26,1.0391130392945094
2010-11-29,1.0332061412773441
2010-11-30,1.029789979150197
2010-12-01,1.0351238958007283
2010-12-02,1.0489291496679622
2010-12-03,1.0532668719820757
2010-12-06,1.0534396320725954
2010-12-07,1.0546241538244852
2010-12-08,1.0561759238719688
2010-12-09,1.0584752217231614
2010-12-10,1.0656501855764775
2010-12-13,1.0678751150734076
2010-12-14,1.0693054696043829
2010-12-15,1.06561325787444
2010-12-16,1.0682183226926216
2010-12-17,1.0690936974038199
2010-12-20,1.0691208356846773
2010-12-21,1.0724760153958939
2010-12-22,1.0768116512062829
2010-12-23,1.0778069240664263
2010-12-27,1.0779932112732808
2010-12-28,1.0787755081305577
2010-12-29,1.078929503347359
2010-12-30,1.078442212252733
2010-12-31,1.0746885995621134
2011-01-03,1.081116593633089
2011-01-04,1.080537920783419
2011-01-05,1.082367970338466
2011-01-06,1.0841176483212402
2011-01-07,1.0818504951277066
2011-01-10,1.0809882510972688
2011-01-11,1.0820209127562492
2011-01-12,1.0877755997053111
2011-01-13,1.0922134789263063
2011-01-14,1.0961858760310421
2011-01-18,1.0995446304577077
2011-01-19,1.0905984160109972
2011-01-20,1.084624036802059
2011-01-21,1.083073947530207
2011-01-24,1.0886748321542736
2011-01-25,1.0945831488459314
2011-01-26,1.0989618580846328
2011-01-27,1.1030619419596563
2011-01-28,1.091573871444376
2011-01-31,1.085109588246226
2011-02-01,1.0968986579300277
2011-02-02,1.1032869791991953
2011-02-03,1.1038230152740325
2011-02-04,1.103801177596952
2011-02-07,1.1092167259947772
2011-02-08,1.1135385762197714
2011-02-09,1.1127948299072523
2011-02-10,1.1114975114390993
2011-02-11,1.1161843993638758
2011-02-14,1.1192860029909206
2011-02-15,1.1186006245834947
2011-02-16,1.1201093369988526
2011-02-17,1.1255056102393355
2011-02-18,1.1291092983517728
2011-02-22,1.1192084663939195
2011-02-23,1.1025587890565502
2011-02-24,1.1004969173665744
2011-02-25,1.1099483810545174
2011-02-28,1.1170364432177011
2011-03-01,1.1119520176008058
2011-03-02,1.1054931107092063
2011-03-03,1.115294467401435
2011-03-04,1.1190620118663652
2011-03-07,1.109747736249547
2011-03-08,1.113654401714166
2011-03-09,1.1187210773498466
2011-03-10,1.1063839121458856
2011-03-11,1.0975224193394284
2011-03-14,1.0969943586706594
2011-03-15,1.0877176665803576
2011-03-16,1.0753674174986374
2011-03-17,1.0698521307143267
2011-03-18,1.0805485357324733
2011-03-21,1.0918129032653372
2011-03-22,1.0981924391213547
2011-03-23,1.0964612039411472
2011-03-24,1.0998131176425758
2011-03-25,1.1070349298290902
2011-03-28,1.1059387606510744
2011-03-29,1.1073791340932404
2011-03-30,1.1152529877853747
2011-03-31,1.122160946795402
