,portfolio_value
2025-01-03,1.0034825898695747
2025-01-06,1.0050134506563506
2025-01-07,0.9989403057358681
2025-01-08,0.9954307097258006
2025-01-10,0.9818198361630749
2025-01-13,0.9756358888301377
2025-01-14,0.9774326002924996
2025-01-15,0.9868138087732352
2025-01-16,0.9952464131400438
2025-01-17,0.9975743218762851
2025-01-21,1.0075924009400943
2025-01-22,1.009345740763312
2025-01-23,1.0156825534781955
2025-01-24,1.0170658484464539
2025-01-27,1.020161894491525
2025-01-28,1.011604840259308
2025-01-29,1.014001746480894
2025-01-30,1.014615854698361
2025-01-31,1.0139953030902107
2025-02-03,1.0077631714983963
2025-02-04,1.008919680310723
2025-02-05,1.0155301938588022
2025-02-06,1.0210326060310548
2025-02-07,1.0181508974424105
2025-02-10,1.0145026152416325
2025-02-11,1.0190635617027057
2025-02-12,1.0117650993948688
2025-02-13,1.0168660464907897
2025-02-14,1.0201599527837728
2025-02-18,1.0204617899437953
2025-02-19,1.0208044477516094
2025-02-20,1.0193345368711055
2025-02-21,1.0140199659058293
2025-02-24,1.0086985418990897
2025-02-25,1.0105762839230836
2025-02-26,1.0083008755922866
2025-02-27,1.0033400304436326
2025-02-28,1.0019477530544567
2025-03-03,0.9980413113697655
2025-03-04,0.9861360775918497
2025-03-05,0.9853565696690181
2025-03-06,0.9811233023237715
2025-03-07,0.9838357093171073
2025-03-10,0.9703248861802088
2025-03-11,0.9523516356075259
2025-03-12,0.9504332382838712
2025-03-13,0.9530043399145343
2025-03-14,0.9544934343173231
2025-03-17,0.9647461253962428
2025-03-18,0.9654375032889954
2025-03-19,0.9666776887147717
2025-03-20,0.9704877540973326
2025-03-21,0.9669134803970574
2025-03-24,0.9764334776845309
2025-03-25,0.9794019572782876
2025-03-26,0.9800949111520815
2025-03-27,0.9750106549430533
2025-03-28,0.9671511498792298
2025-03-31,0.9621928156814029
2025-04-01,0.962973082923843
2025-04-02,0.9688571021771468
2025-04-03,0.9400250411873846
2025-04-04,0.8952474730638541
2025-04-07,0.8867084442910065
2025-04-08,0.8799618119063188
2025-04-09,0.9184160186433551
2025-04-10,0.9088630632423476
2025-04-11,0.9112814313014199
2025-04-14,0.91905063306832
2025-04-15,0.9195530673133473
2025-04-16,0.9115094385567921
2025-04-17,0.9115053753356521
2025-04-21,0.9019630125561349
2025-04-22,0.9119902135422089
2025-04-23,0.920685477409684
2025-04-24,0.9308269624613279
2025-04-25,0.9357040036318791
2025-04-28,0.9368703463747661
2025-04-29,0.9405417883058733
2025-04-30,0.9394805425605702
2025-05-01,0.9435662574168483
2025-05-02,0.9510076944598053
2025-05-05,0.9429989580154481
2025-05-06,0.9414851579600083
2025-05-07,0.9448065741928886
2025-05-08,0.9465061755443753
2025-05-09,0.9465156244286479
2025-05-12,0.9614582543639965
2025-05-13,0.9707933898451955
2025-05-14,0.9729527475970624
2025-05-15,0.976306441582773
2025-05-16,0.980568686185735
2025-05-19,0.9822743655305117
2025-05-20,0.9818444316502106
2025-05-21,0.9730510070385285
2025-05-22,0.97074213412901
2025-05-23,0.9676436575030869
2025-05-27,0.9783563152196647
2025-05-28,0.9775782109553943
2025-05-29,0.9780294722077025
2025-05-30,0.9760978197845265
2025-06-02,0.9774790228746135
2025-06-03,0.981803614628032
2025-06-04,0.9799029714870137
2025-06-05,0.9817697860726298
2025-06-06,0.9880976613603273
2025-06-09,0.9895649826531032
2025-06-10,0.9926619145437744
2025-06-11,0.9918941812833211
2025-06-12,0.994103160729467
2025-06-13,0.9869622087861178
2025-06-16,0.9900945464304027
2025-06-17,0.9870940433412798
2025-06-18,0.98666547863002
2025-06-20,0.9853613256912708
2025-06-23,0.991195571089081
2025-06-24,0.9974887586869217
2025-06-25,0.9969380939523804
2025-06-26,1.0024737293761832
2025-06-27,1.005641301574535
2025-06-30,1.0067247319357278
2025-07-01,1.0186258655799476
2025-07-02,1.0253758676638138
2025-07-03,1.0330628619567566
2025-07-07,1.0286900461219388
2025-07-08,1.0274275678768505
2025-07-09,1.0284335746280802
2025-07-10,1.031466597900057
2025-07-11,1.027090030266414
2025-07-14,1.0303177523454716
2025-07-15,1.0207543179866045
2025-07-16,1.0241850368159806
2025-07-17,1.029236461644599
2025-07-18,1.02841892563454
2025-07-21,1.027884065624583
2025-07-22,1.0293713735993035
2025-07-23,1.0300126725963477
2025-07-24,1.0236218341642973
2025-07-25,1.0206535155567207
2025-07-28,1.024109708441838
2025-07-29,1.0213406773275586
2025-07-30,1.017570116564555
2025-07-31,1.013660665550767
2025-08-01,1.0070002348895528
2025-08-04,1.0093354564758161
2025-08-05,1.0105511325980698
2025-08-06,1.0127788715168702
2025-08-07,1.0145183254884493
2025-08-08,1.0183889819239105
2025-08-11,1.0207003970375919
2025-08-12,1.0313648745159065
2025-08-13,1.0370028302736167
2025-08-14,1.0357762514833866
2025-08-15,1.0314585671702874
2025-08-18,1.032981819989335
2025-08-19,1.0319780554601445
2025-08-20,1.0288057907853285
2025-08-21,1.026563238638777
2025-08-22,1.0372304118407063
2025-08-25,1.0397864383965856
2025-08-26,1.0426600499778225
2025-08-27,1.046275029006762
2025-08-28,1.046039383625911
2025-08-29,1.045355467558803
2025-09-02,1.0409064472451366
2025-09-03,1.0403568596176274
2025-09-04,1.0453785232953372
2025-09-05,1.0451958702338011
2025-09-08,1.0460188130551202
2025-09-09,1.046019465929699
2025-09-10,1.0474898251321478
2025-09-11,1.0523689346651612
2025-09-12,1.0519455483328697
2025-09-15,1.05196218913451
2025-09-16,1.0525964717889447
2025-09-17,1.0529688385518379
2025-09-18,1.0592487815041578
2025-09-19,1.058999559299577
2025-09-22,1.060079271209009
2025-09-23,1.058399517570885
2025-09-24,1.055624399160858
2025-09-25,1.0524515163328074
2025-09-26,1.0539925627889732
2025-09-29,1.0540365139075294
2025-09-30,1.054576523439342
2025-10-01,1.0543715318550713
2025-10-02,1.053621392094711
2025-10-03,1.0582214107730072
2025-10-06,1.074565563566356
2025-10-07,1.072226061971885
2025-10-08,1.0723671245214579
2025-10-09,1.0696053162261787
2025-10-10,1.058405474603972
2025-10-13,1.0576719470588123
2025-10-14,1.068921735945512
2025-10-15,1.0661583493068831
2025-10-16,1.0552094749001881
2025-10-17,1.0575239271169445
2025-10-20,1.0665853109875387
2025-10-21,1.070536529647769
2025-10-22,1.0690173880551908
2025-10-23,1.0666853545945512
2025-10-24,1.0824407400559468
2025-10-27,1.0875902369354442
2025-10-28,1.0924815883280798
2025-10-29,1.092924260455665
2025-10-30,1.091213773988795
2025-10-31,1.08783966406427
2025-11-03,1.0929829778084832
2025-11-04,1.0912322561303207
2025-11-05,1.092060108607768
2025-11-06,1.0878159357783477
2025-11-07,1.0867803107966982
2025-11-10,1.092782380039027
2025-11-11,1.0985039410713906
2025-11-12,1.0992606421107145
2025-11-13,1.093578291484543
2025-11-14,1.0880899754575006
2025-11-17,1.080009573063976
2025-11-18,1.076741068348309
2025-11-19,1.0757087713548341
2025-11-20,1.0746373023903253
2025-11-21,1.0764804068175549
2025-11-24,1.0838485210681599
2025-11-25,1.0959238076214386
2025-11-26,1.0994706839549648
2025-11-28,1.1018854917216325
2025-12-01,1.1050654777539106
2025-12-02,1.103914141931148
2025-12-03,1.1097777879536737
2025-12-04,1.110075811423569
2025-12-05,1.111461189315081
2025-12-08,1.1128713611675631
2025-12-09,1.1115434628693845
2025-12-10,1.119994512878565
2025-12-11,1.1269026596108462
2025-12-12,1.1260806056379802
2025-12-15,1.1233619033672984
2025-12-16,1.1222970639047545
2025-12-17,1.1202675842727574
2025-12-18,1.1219512194750234
2025-12-19,1.1252395369285504
2025-12-22,1.1306211438060068
2025-12-23,1.1327582812713084
2025-12-24,1.13615618616361
2025-12-26,1.1367206084111199
2025-12-29,1.1339866703182881
2025-12-30,1.127123869829667
2025-12-31,1.1232232391387542
