,portfolio_value
2010-10-01,0.9983163961127167
2010-10-04,0.9968991646101597
2010-10-05,1.0002927515721445
2010-10-06,1.008769698154817
2010-10-07,1.00510768641748
2010-10-08,1.0047285268516895
2010-10-11,1.006371664642319
2010-10-12,1.0035382514626698
2010-10-13,1.0073499662331116
2010-10-14,1.0041555210053674
2010-10-15,0.9995870196762802
2010-10-18,1.0046721654126074
2010-10-19,1.0025531459231363
2010-10-20,1.003442623683637
2010-10-21,1.0036473629189242
2010-10-22,1.0072818231861205
2010-10-25,1.0098356067747436
2010-10-26,1.0048997200874767
2010-10-27,1.00158147971859
2010-10-28,1.001827862057852
2010-10-29,1.0047354390449856
2010-11-01,1.0019773721385423
2010-11-02,1.0113156790051954
2010-11-03,1.0070724370316257
2010-11-04,1.0176304426113876
2010-11-05,1.017726884482619
2010-11-08,1.0193387160559189
2010-11-09,1.0095508297473679
2010-11-10,1.009775581737916
2010-11-11,1.0085977027224282
2010-11-12,1.0021485755125839
2010-11-15,0.9926186719428896
2010-11-16,0.9940576599768056
2010-11-17,0.98919720944731
2010-11-18,0.994432485059876
2010-11-19,1.0007964168543428
2010-11-22,1.0040082111827313
2010-11-23,1.0011983091351289
2010-11-24,0.9979655367143303
2010-11-26,1.0026667860868475
2010-11-29,1.0015976207721893
2010-11-30,1.000818632388013
2010-12-01,0.9977397999918947
2010-12-02,1.0050621256544272
2010-12-03,1.0052879885137267
2010-12-06,1.010023197483689
2010-12-07,1.0035975821927863
2010-12-08,1.0019555081527014
2010-12-09,1.005167282045599
2010-12-10,1.0072885525580033
2010-12-13,1.009598916321543
2010-12-14,1.0058923453087119
2010-12-15,0.9989777199698431
2010-12-16,1.0030362404621957
2010-12-17,1.0083977730864286
2010-12-20,1.008515634923523
2010-12-21,1.0129875768643322
2010-12-22,1.013313541647543
2010-12-23,1.0132721925334771
2010-12-27,1.0161037772974089
2010-12-28,1.010762070565189
2010-12-29,1.0160880613577357
2010-12-30,1.0155491043417464
2010-12-31,1.0163710090172646
2011-01-03,1.017471043315811
2011-01-04,1.0182587164408141
2011-01-05,1.0124383289045007
2011-01-06,1.0147055358759214
2011-01-07,1.015369841920303
2011-01-10,1.0167055175974684
2011-01-11,1.0153608799540716
2011-01-12,1.0157929233647696
2011-01-13,1.0218234096574526
2011-01-14,1.0217266551978335
2011-01-18,1.0224453689195871
2011-01-19,1.0210359838640088
2011-01-20,1.0138258776589215
2011-01-21,1.015522325425882
2011-01-24,1.019503176988541
2011-01-25,1.0257972227727605
2011-01-26,1.02406928214042
2011-01-27,1.0288454452014002
2011-01-28,1.0234979391630756
2011-01-31,1.017709024421393
2011-02-01,1.0229971487689027
2011-02-02,1.0264630061635551
2011-02-03,1.023994723628421
2011-02-04,1.0200650301894225
2011-02-07,1.0248667063262564
2011-02-08,1.0256163354053405
2011-02-09,1.0282249594820279
2011-02-10,1.0244566448298937
2011-02-11,1.0316424627012368
2011-02-14,1.0332212120152675
2011-02-15,1.0346959609993494
2011-02-16,1.0347332090533041
2011-02-17,1.038421303467869
2011-02-18,1.0384284745356571
2011-02-22,1.0365947270611346
2011-02-23,1.0274150657042767
2011-02-24,1.0273037050763592
2011-02-25,1.036051565041491
2011-02-28,1.0404251450567261
2011-03-01,1.0371370107550528
2011-03-02,1.0289194147957406
2011-03-03,1.030765108366756
2011-03-04,1.0348740809656074
2011-03-07,1.0276593885510386
2011-03-08,1.0283450565698986
2011-03-09,1.0340495576361703
2011-03-10,1.0310315144984792
2011-03-11,1.0254454064512937
2011-03-14,1.0244233690550226
2011-03-15,1.023139568867101
2011-03-16,1.0186765452227804
2011-03-17,1.0140397115654063
2011-03-18,1.022261191085175
2011-03-21,1.0271750043196164
2011-03-22,1.0312405277062653
2011-03-23,1.0295286386932756
2011-03-24,1.0300734359390655
2011-03-25,1.0328623581488903
2011-03-28,1.0339290358367907
2011-03-29,1.0329578919306581
2011-03-30,1.0409373680808094
2011-03-31,1.0440660437593503
2011-04-01,1.0475063750776985
2011-04-04,1.048250654432894
2011-04-05,1.0475957529876525
2011-04-06,1.0439353283790431
2011-04-07,1.0422220494382946
2011-04-08,1.0369266669771702
2011-04-11,1.0371662894828138
2011-04-12,1.0366653865085538
2011-04-13,1.037223597753792
2011-04-14,1.037504668000672
2011-04-15,1.0447457178400807
2011-04-18,1.0419299213528255
2011-04-19,1.042550332707699
2011-04-20,1.0458645784030138
2011-04-21,1.049452047246641
2011-04-25,1.0515119762043263
2011-04-26,1.0591700178418886
2011-04-27,1.05869821331183
2011-04-28,1.0633591884050624
2011-04-29,1.0656574527259106
2011-05-02,1.064875586346866
2011-05-03,1.0644122656661144
2011-05-04,1.0623530406646993
2011-05-05,1.0628787714799366
2011-05-06,1.0611530314665136
2011-05-09,1.0634766852934288
2011-05-10,1.0655577348895264
2011-05-11,1.0641021774155401
2011-05-12,1.061864277956973
2011-05-13,1.061244910745138
2011-05-16,1.0591483512037134
2011-05-17,1.0608316036049112
2011-05-18,1.0591753079588515
2011-05-19,1.0611024611446194
2011-05-20,1.0592224808471047
2011-05-23,1.0553438800278212
2011-05-24,1.0545379385795355
2011-05-25,1.0534023982343814
2011-05-26,1.058649097832363
2011-05-27,1.061452276368669
