,portfolio_value
2010-10-19,1.0000793650793651
2010-10-20,1.0001587364575462
2010-10-21,1.000238114135043
2010-10-22,1.0003174981123553
2010-10-25,1.0003968883899832
2010-10-26,1.000476284968427
2010-10-27,1.0005556878481865
2010-10-28,1.0006350970297617
2010-10-29,1.000714512513653
2010-11-01,1.0007939343003605
2010-11-02,1.0008733623903843
2010-11-03,1.0009527967842249
2010-11-04,1.0010322374823823
2010-11-05,1.0011116844853571
2010-11-08,1.0011911377936498
2010-11-09,1.0012705974077605
2010-11-10,1.0013500633281898
2010-11-11,1.0014295355554381
2010-11-12,1.001509014090006
2010-11-15,1.0015884989323942
2010-11-16,1.0016679900831031
2010-11-17,1.0017474875426335
2010-11-18,1.0018269913114861
2010-11-19,1.0019065013901616
2010-11-22,1.0019860177791609
2010-11-23,1.0020655404789847
2010-11-24,1.002145069490134
2010-11-26,1.0022246048131094
2010-11-29,1.0023041464484121
2010-11-30,1.002383694396543
2010-12-01,1.002463248658003
2010-12-02,1.0025428092332933
2010-12-03,1.002622376122915
2010-12-06,1.0027019493273692
2010-12-07,1.002781528847157
2010-12-08,1.00286111468278
2010-12-09,1.002940706834739
2010-12-10,1.0030203053035354
2010-12-13,1.0030999100896707
2010-12-14,1.003179521193646
2010-12-15,1.003259138615963
2010-12-16,1.003338762357123
2010-12-17,1.0034183924176276
2010-12-20,1.0034980287979782
2010-12-21,1.0035776714986766
2010-12-22,1.0036573205202242
2010-12-23,1.0037369758631227
2010-12-27,1.0038166375278739
2010-12-28,1.0038963055149792
2010-12-29,1.0039759798249408
2010-12-30,1.0040556604582602
2010-12-31,1.0041353474154395
2011-01-03,1.0042150406969805
2011-01-04,1.004294740303385
2011-01-05,1.0043744462351551
2011-01-06,1.0044541584927928
2011-01-07,1.0045338770768002
2011-01-10,1.0046136019876795
2011-01-11,1.0046933332259325
2011-01-12,1.0047730707920615
2011-01-13,1.0048528146865687
2011-01-14,1.0049325649099565
2011-01-18,1.0050123214627271
2011-01-19,1.005092084345383
2011-01-20,1.0051718535584264
2011-01-21,1.0052516291023597
2011-01-24,1.0053314109776852
2011-01-25,1.0054111991849057
2011-01-26,1.0054909937245236
2011-01-27,1.0055707945970414
2011-01-28,1.0056506018029618
2011-01-31,1.0057304153427875
2011-02-01,1.005810235217021
2011-02-02,1.0058900614261652
2011-02-03,1.005969893970723
2011-02-04,1.0060497328511968
2011-02-07,1.00612957806809
2011-02-08,1.0062094296219048
2011-02-09,1.0062892875131448
2011-02-10,1.0063691517423126
2011-02-11,1.0064490223099112
2011-02-14,1.0065288992164438
2011-02-15,1.0066087824624135
2011-02-16,1.0066886720483232
2011-02-17,1.0067685679746763
2011-02-18,1.006848470241976
2011-02-22,1.0069283788507255
2011-02-23,1.007008293801428
2011-02-24,1.0070882150945868
2011-02-25,1.0071681427307055
2011-02-28,1.0072480767102874
2011-03-01,1.007328017033836
2011-03-02,1.0074079637018545
2011-03-03,1.0074879167148467
2011-03-04,1.0075678760733162
2011-03-07,1.0076478417777666
2011-03-08,1.0077278138287014
2011-03-09,1.0078077922266244
2011-03-10,1.0078877769720394
2011-03-11,1.00796776806545
2011-03-14,1.0080477655073599
2011-03-15,1.008127769298273
2011-03-16,1.0082077794386937
2011-03-17,1.0082877959291254
2011-03-18,1.0083678187700722
2011-03-21,1.008447847962038
2011-03-22,1.0085278835055271
2011-03-23,1.0086079254010434
2011-03-24,1.008687973649091
2011-03-25,1.0087680282501743
2011-03-28,1.0088480892047973
2011-03-29,1.0089281565134645
2011-03-30,1.0090082301766798
2011-03-31,1.009088310194948
2011-04-01,1.009168396568773
2011-04-04,1.0092484892986595
2011-04-05,1.0093285883851117
2011-04-06,1.0094086938286344
2011-04-07,1.009488805629732
2011-04-08,1.009568923788909
2011-04-11,1.00964904830667
2011-04-12,1.00972917918352
2011-04-13,1.009809316419963
2011-04-14,1.0098894600165045
2011-04-15,1.0099696099736486
2011-04-18,1.0100497662919006
2011-04-19,1.0101299289717651
2011-04-20,1.010210098013747
2011-04-21,1.0102902734183512
2011-04-25,1.0103704551860828
2011-04-26,1.010450643317447
2011-04-27,1.0105308378129483
2011-04-28,1.0106110386730922
2011-04-29,1.0106912458983837
2011-05-02,1.010771459489328
2011-05-03,1.0108516794464304
2011-05-04,1.010931905770196
2011-05-05,1.0110121384611301
2011-05-06,1.0110923775197382
2011-05-09,1.0111726229465257
2011-05-10,1.0112528747419975
2011-05-11,1.0113331329066597
2011-05-12,1.0114133974410173
2011-05-13,1.0114936683455762
2011-05-16,1.0115739456208417
2011-05-17,1.0116542292673196
2011-05-18,1.0117345192855154
2011-05-19,1.011814815675935
2011-05-20,1.0118951184390839
2011-05-23,1.011975427575468
2011-05-24,1.012055743085593
2011-05-25,1.0121360649699649
2011-05-26,1.0122163932290895
2011-05-27,1.012296727863473
2011-05-31,1.0123770688736209
2011-06-01,1.0124574162600395
2011-06-02,1.0125377700232348
2011-06-03,1.012618130163713
2011-06-06,1.0126984966819799
2011-06-07,1.012778869578542
2011-06-08,1.0128592488539054
2011-06-09,1.0129396345085764
2011-06-10,1.0130200265430613
2011-06-13,1.0131004249578663
2011-06-14,1.0131808297534979
2011-06-15,1.0132612409304624
2011-06-16,1.0133416584892665
2011-06-17,1.0134220824304165
2011-06-20,1.013502512754419
2011-06-21,1.0135829494617805
2011-06-22,1.0136633925530076
2011-06-23,1.0137438420286071
2011-06-24,1.0138242978890857
2011-06-27,1.01390476013495
2011-06-28,1.0139852287667068
2011-06-29,1.014065703784863
2011-06-30,1.0141461851899254
2011-07-01,1.0142266729824008
2011-07-05,1.0143071671627963
2011-07-06,1.0143876677316188
2011-07-07,1.0144681746893753
2011-07-08,1.014548688036573
2011-07-11,1.014629207773719
