,portfolio_value
2025-01-03,1.003591491151562
2025-01-06,0.9961919933374799
2025-01-07,0.9985950357859541
2025-01-08,0.9994605536445474
2025-01-10,0.9922231689481327
2025-01-13,0.9841214836876468
2025-01-14,0.991211700892865
2025-01-15,0.9943060502003886
2025-01-16,1.0079818676887298
2025-01-17,1.013174831753671
2025-01-21,1.0274495498064566
2025-01-22,1.0313355695706992
2025-01-23,1.0374483772004726
2025-01-24,1.0403033490501086
2025-01-27,1.0440909669513543
2025-01-28,1.0456060173167563
2025-01-29,1.0472197013545517
2025-01-30,1.0481886305911698
2025-01-31,1.0466364972112003
2025-02-03,1.0506176952573403
2025-02-04,1.053296240892956
2025-02-05,1.0604754586545393
2025-02-06,1.06539501431262
2025-02-07,1.0695225059072975
2025-02-10,1.0600369907361429
2025-02-11,1.062432267787342
2025-02-12,1.0563049477513582
2025-02-13,1.0621118016221338
2025-02-14,1.0467784993965101
2025-02-18,1.0489046843559022
2025-02-19,1.052735285075605
2025-02-20,1.0457447757721103
2025-02-21,1.0464866536221404
2025-02-24,1.0422520409047926
2025-02-25,1.045468133251096
2025-02-26,1.0509412897494144
2025-02-27,1.04671699879633
2025-02-28,1.048683473778086
2025-03-03,1.037736148657891
2025-03-04,1.030859364100408
2025-03-05,1.037993767379353
2025-03-06,1.024172189805871
2025-03-07,1.018268158578962
2025-03-10,1.029654800233831
2025-03-11,1.0175852499830058
2025-03-12,1.0350545004696419
2025-03-13,1.04820923123144
2025-03-14,1.041777689784612
2025-03-17,1.048509709473245
2025-03-18,1.0789848675843212
2025-03-19,1.090589001105491
2025-03-20,1.0976280274304484
2025-03-21,1.0981576194700904
2025-03-24,1.1029151186570973
2025-03-25,1.0971603086383024
2025-03-26,1.109424044963644
2025-03-27,1.1066274066940425
2025-03-28,1.1099499866490001
2025-03-31,1.0976313234325654
2025-04-01,1.0976904273600376
2025-04-02,1.0969066797994902
2025-04-03,1.1031738072353838
2025-04-04,1.103754268609221
2025-04-07,1.1029492039849793
2025-04-08,1.1098802072851401
2025-04-09,1.0838571898131821
2025-04-10,1.095792087517763
2025-04-11,1.0889430036516055
2025-04-14,1.0870214915411696
2025-04-15,1.0880544839867314
2025-04-16,1.0943274645519807
2025-04-17,1.0904740871851204
2025-04-21,1.094317973332548
2025-04-22,1.0892079636097343
2025-04-23,1.0902312345113003
2025-04-24,1.0860542725582691
2025-04-25,1.0861333947414535
