date,portfolio_value
2010-03-31,100007.93650793651
2010-04-01,100015.8736457546
2010-04-05,100023.81141350427
2010-04-06,100031.7498112355
2010-04-07,100039.68883899829
2010-04-08,100047.62849684266
2010-04-09,100055.5687848186
2010-04-12,100063.50970297614
2010-04-13,100071.45125136526
2010-04-14,100079.393430036
2010-04-15,100087.33623903838
2010-04-16,100095.27967842243
2010-04-19,100103.22374823818
2010-04-20,100111.16844853565
2010-04-21,100119.1137793649
2010-04-22,100127.05974077596
2010-04-23,100135.00633281888
2010-04-26,100142.95355554372
2010-04-27,100150.90140900051
2010-04-28,100158.84989323931
2010-04-29,100166.7990083102
2010-04-30,100174.74875426324
2010-05-03,100182.6991311485
2010-05-04,100190.65013901606
2010-05-05,100198.60177791597
2010-05-06,100206.55404789835
2010-05-07,100214.50694901326
2010-05-10,100222.4604813108
2010-05-11,100230.41464484106
2010-05-12,100238.36943965414
2010-05-13,100246.32486580014
2010-05-14,100254.28092332918
2010-05-17,100262.23761229134
2010-05-18,100270.19493273676
2010-05-19,100278.15288471556
2010-05-20,100286.11146827784
2010-05-21,100294.07068347374
2010-05-24,100302.03053035338
2010-05-25,100309.9910089669
2010-05-26,100317.95211936443
2010-05-27,100325.91386159613
2010-05-28,100333.87623571213
2010-06-01,100341.83924176259
2010-06-02,100349.80287979764
2010-06-03,100357.76714986748
2010-06-04,100365.73205202223
2010-06-07,100373.69758631208
2010-06-08,100381.66375278718
2010-06-09,100389.63055149771
2010-06-10,100397.59798249387
2010-06-11,100405.5660458258
2010-06-14,100413.53474154373
2010-06-15,100421.50406969782
2010-06-16,100429.47403033827
2010-06-17,100437.44462351529
2010-06-18,100445.41584927906
2010-06-21,100453.3877076798
2010-06-22,100461.36019876771
2010-06-23,100469.33332259301
2010-06-24,100477.30707920592
2010-06-25,100485.28146865664
2010-06-28,100493.25649099542
2010-06-29,100501.23214627248
2010-06-30,100509.20843453806
2010-07-01,100517.18535584239
2010-07-02,100525.16291023571
2010-07-06,100533.14109776827
2010-07-07,100541.11991849031
2010-07-08,100549.0993724521
2010-07-09,100557.07945970388
2010-07-12,100565.06018029591
2010-07-13,100573.04153427848
2010-07-14,100581.02352170183
2010-07-15,100589.00614261626
2010-07-16,100596.98939707201
2010-07-19,100604.9732851194
2010-07-20,100612.9578068087
2010-07-21,100620.9429621902
2010-07-22,100628.92875131418
2010-07-23,100636.91517423095
2010-07-26,100644.9022309908
2010-07-27,100652.88992164406
2010-07-28,100660.87824624102
2010-07-29,100668.86720483199
2010-07-30,100676.85679746729
2010-08-02,100684.84702419725
2010-08-03,100692.8378850722
2010-08-04,100700.82938014243
2010-08-05,100708.82150945831
2010-08-06,100716.81427307018
2010-08-09,100724.80767102836
2010-08-10,100732.80170338321
2010-08-11,100740.79637018507
2010-08-12,100748.79167148429
2010-08-13,100756.78760733124
2010-08-16,100764.78417777627
2010-08-17,100772.78138286974
2010-08-18,100780.77922266204
2010-08-19,100788.77769720352
2010-08-20,100796.77680654457
2010-08-23,100804.77655073557
2010-08-24,100812.7769298269
2010-08-25,100820.77794386895
2010-08-26,100828.7795929121
2010-08-27,100836.78187700678
2010-08-30,100844.78479620337
2010-08-31,100852.78835055228
2010-09-01,100860.79254010391
2010-09-02,100868.79736490868
2010-09-03,100876.802825017
2010-09-07,100884.8089204793
2010-09-08,100892.81565134601
2010-09-09,100900.82301766754
2010-09-10,100908.83101949435
2010-09-13,100916.83965687685
2010-09-14,100924.84892986549
2010-09-15,100932.85883851071
2010-09-16,100940.86938286298
2010-09-17,100948.88056297273
2010-09-20,100956.89237889042
2010-09-21,100964.90483066652
2010-09-22,100972.9179183515
2010-09-23,100980.9316419958
2010-09-24,100988.94600164994
2010-09-27,100996.96099736435
2010-09-28,101004.97662918954
2010-09-29,101012.99289717598
2010-09-30,100631.37851407056
2010-10-01,100536.16196014581
2010-10-04,100304.18590611886
2010-10-05,99979.64910036243
2010-10-06,100809.60601997837
2010-10-07,100983.58614524978
2010-10-08,100783.17878997157
2010-10-11,100463.03081689421
2010-10-12,100369.11413356333
2010-10-13,100650.65280853788
2010-10-14,100921.35170832186
2010-10-15,100602.69466529772
2010-10-18,100469.26111971047
2010-10-19,100785.87356893328
2010-10-20,100501.4887332274
2010-10-21,100523.64679427815
2010-10-22,100323.5518964648
2010-10-25,100334.03277538849
2010-10-26,100373.11147945662
2010-10-27,100347.43047094587
2010-10-28,100749.24741895829
2010-10-29,101880.83104335683
2010-11-01,102093.16566283753
2010-11-02,102411.26883092723
2010-11-03,103336.50375468686
2010-11-04,103888.26480359762
2010-11-05,103498.89665854738
2010-11-08,103626.25233673063
2010-11-09,103659.88838131804
2010-11-10,104226.0852835089
2010-11-11,104831.0239126427
2010-11-12,104274.40296061023
2010-11-15,104063.96355282655
2010-11-16,103564.31059409148
2010-11-17,103390.89010916662
2010-11-18,103369.4271075815
2010-11-19,102846.02163827908
2010-11-22,102615.40792315533
2010-11-23,102176.84163346444
2010-11-24,102142.70767025267
2010-11-26,101863.10422122796
2010-11-29,102090.00076670118
2010-11-30,102669.71043959094
2010-12-01,102091.93925811016
2010-12-02,102045.72471645469
2010-12-03,102414.50745604985
2010-12-06,101748.45715462623
2010-12-07,101846.31467844092
2010-12-08,102322.01799128015
2010-12-09,101972.52760813292
2010-12-10,101776.44546049007
2010-12-13,101807.1312351308
2010-12-14,101532.44913307339
2010-12-15,101755.51420221096
2010-12-16,102090.93536376543
2010-12-17,102537.07867045849
2010-12-20,102592.48238700264
2010-12-21,102738.96500502998
2010-12-22,102976.49169676041
2010-12-23,102534.67791838452
2010-12-27,102823.33423519446
2010-12-28,102230.45341253735
2010-12-29,101933.30012457908
2010-12-30,101539.98050162099
2010-12-31,101115.44891835909
2011-01-03,101236.07785028237
2011-01-04,102341.06849345191
2011-01-05,102183.64538219449
2011-01-06,102402.55690699011
2011-01-07,102718.39855086764
2011-01-10,102975.2457303786
2011-01-11,102957.61636384034
2011-01-12,102953.09639656087
2011-01-13,102837.07616350736
2011-01-14,101353.81691549203
2011-01-18,101236.72305755141
2011-01-19,101341.14502587265
2011-01-20,101182.6914561014
2011-01-21,100956.47198898127
2011-01-24,100786.69428980061
2011-01-25,99920.23791341219
2011-01-26,98772.21178505273
2011-01-27,98292.64260176869
2011-01-28,97496.45903771624
2011-01-31,97659.82424453768
2011-02-01,97727.02733339499
2011-02-02,98201.10107842607
2011-02-03,98215.19522729659
2011-02-04,98008.57764852644
2011-02-07,97633.45864655677
2011-02-08,98409.87927868604
2011-02-09,98853.87662134452
2011-02-10,98691.33804440558
2011-02-11,98482.98244520662
2011-02-14,98767.13446372453
2011-02-15,99963.8674549043
2011-02-16,99159.78715938271
2011-02-17,99231.26114726666
2011-02-18,99252.40763561582
2011-02-22,99312.2243442107
2011-02-23,98862.86269872708
2011-02-24,99215.5847927486
2011-02-25,98345.04315632787
2011-02-28,97404.9390187849
2011-03-01,96266.81294797367
2011-03-02,96265.66408660004
2011-03-03,95660.06369004841
2011-03-04,95589.03191953567
2011-03-07,95680.69371937454
