year,n_eligible,n_names,window_return,window_max_drawdown
2010,199,19,0.11257791309142173,-0.014089719032004466
2011,988,87,0.026790293319951086,-0.03894242424180882
2012,1029,89,0.06399106667002297,-0.036938895897911175
2013,1050,87,0.1302144207240874,-0.018846487321903457
2014,1098,89,-0.015443377656383928,-0.12945710931656093
2015,1052,85,-0.15507719147480603,-0.1908282693633744
2016,952,80,0.025485948299499128,-0.03233409647304806
2017,901,75,0.08129067583171823,-0.03604081134725527
2018,896,71,0.11656457120505603,-0.08934432758545871
2019,794,62,0.06212592820400231,-0.052361075437967516
2020,770,59,0.1873001128353855,-0.026792497299413465
2021,829,60,-0.15882808062292098,-0.17198644194247326
2022,549,45,0.08987635131613536,-0.13495105570163163
2023,336,28,0.006323070988846213,-0.07289157125577714
2024,210,17,0.07650642687989029,-0.10120864302596821
