group,direction,entry_date_i,exit_date_i,entry_notional,exit_value,net_ret,n_names
73,short,658,663,50003.968253968254,47443.251738067105,-0.051210266011196715,41
36,short,658,663,50003.968253968254,48720.85746999572,-0.02566017915729546,22
38,short,673,678,96240.45719282664,94598.23350048382,-0.017063756140023978,15
73,short,682,687,47314.134130526174,46055.83581020533,-0.02659455453310333,40
13,short,682,687,47314.134130526174,47063.56284403499,-0.005295907683736334,16
36,long,687,692,31039.79955141344,30373.399099430553,-0.021469225369161404,22
13,long,687,692,31039.79955141344,30059.28632276068,-0.03158890336996756,16
48,short,687,692,31039.79955141344,30288.25041781328,-0.024212435146538813,5
73,long,692,697,15120.155973334086,14912.28306808717,-0.013748066198094766,40
36,long,692,697,15120.155973334086,14617.934970288907,-0.03321533216528294,22
67,long,692,697,15120.155973334086,14876.348960041705,-0.0161246361295716,14
28,long,692,697,15120.155973334086,14739.030739226988,-0.02520643535551159,32
35,long,692,697,15120.155973334086,14548.829099727882,-0.03778577910266245,12
48,long,692,697,15120.155973334086,14902.622248240063,-0.014387002718600606,5
63,short,697,702,88597.04908561273,87872.86637985561,-0.008173891943707212,6
73,long,702,707,17574.57327597112,16741.03404060676,-0.04742870408717237,40
67,long,702,707,17574.57327597112,17376.619771413185,-0.011263630783490353,13
38,long,702,707,17574.57327597112,16647.206202449604,-0.05276754427883956,15
35,long,702,707,17574.57327597112,16889.021137849442,-0.03900818115788918,11
48,long,702,707,17574.573275971114,17039.3915287928,-0.030452047897518097,5
73,long,707,712,42346.636340555895,42557.17321864735,0.004971749737058273,40
35,short,707,712,42346.636340555895,43155.45483792818,0.019099946708108773,11
13,long,712,717,28570.87601885851,28052.127523948566,-0.018156548457511024,15
28,long,712,717,28570.87601885851,26454.3593755373,-0.07407951516516964,31
48,long,712,717,28570.876018858504,27767.783422124838,-0.02810878449101728,5
73,long,720,725,16458.77219766492,16079.78814904924,-0.02302626490385762,39
67,long,720,725,16458.77219766492,15968.70850100712,-0.02977522811375477,14
13,long,720,725,16458.77219766492,15373.364402411966,-0.06594706957587915,15
28,long,720,725,16458.77219766492,15765.765285828616,-0.04210562631972159,31
49,long,720,725,16458.77219766492,15427.352581871111,-0.0626668625950203,5
73,long,725,730,15722.99578403361,15586.799102491628,-0.008662260259605703,39
36,long,725,730,15722.99578403361,16014.800968282449,0.018559133911691283,22
60,long,725,730,15722.99578403361,16041.206347494259,0.020238545365749205,28
63,long,725,730,15722.99578403361,16006.273151093365,0.018016755264121942,6
48,long,725,730,15722.995784033606,15773.509772132014,0.0032127457637369794,6
36,short,734,739,19861.951465921997,19273.471081518117,-0.029628527962801687,22
28,short,734,739,19861.951465921997,20436.33457867253,0.028918765295345095,29
48,short,734,739,19861.951465921997,20198.680488064667,0.016953471199464554,5
49,short,734,739,19861.95146592199,20444.347310448346,0.02932218646921969,5
28,long,739,744,80352.83345870365,79247.59885499076,-0.013754768265650696,29
28,short,744,749,39623.79942749538,40362.20112170334,0.018635307690750613,29
48,short,744,749,39623.79942749538,38652.674645180974,-0.02450862351278038,5
73,short,749,754,19753.71894172108,17915.1785598634,-0.0930731264974397,39
13,short,749,754,19753.71894172108,18361.11526702003,-0.07049830357562603,13
48,short,749,754,19753.71894172108,18933.557154435548,-0.04151936097224196,5
49,short,749,754,19753.71894172108,19087.12524247072,-0.03374522545435599,5
73,short,757,762,9289.33342300244,8771.639657965785,-0.055729915319298384,39
36,short,757,762,9289.33342300244,9348.752264941344,0.006396459168078739,21
67,short,757,762,9289.33342300244,9030.641828693617,-0.027848240829449034,15
60,short,757,762,9289.33342300244,9238.131553285852,-0.005511899227322425,27
63,long,757,762,9289.33342300244,9389.892761136456,0.010825248008109023,6
38,short,757,762,9289.33342300244,9202.652797041972,-0.009331199776490662,15
28,short,757,762,9289.33342300244,8942.971971761559,-0.03728593166687433,27
49,short,757,762,9289.333423002428,9498.592365752498,0.02252679855713846,5
67,short,767,772,73452.41604606071,70952.69540563019,-0.03403183686787081,14
13,short,781,786,35501.69599718744,36162.407754159845,0.018610709669328207,13
48,long,781,786,35501.69599718744,35934.64530814039,0.012195172618999717,5
13,long,786,791,72097.05306230023,62614.4446339094,-0.1315256036914123,13
36,long,795,800,20878.10820062894,21029.170585096734,0.007235444084116915,20
38,short,795,800,20878.10820062894,19940.939108963175,-0.04488764416105151,15
48,long,795,800,20878.10820062894,21430.569111510842,0.026461253365152038,5
36,short,800,805,7800.084850696345,7776.085436312824,-0.003076814527393057,20
67,short,800,805,7800.084850696345,7688.404545893055,-0.01431783204170145,13
60,short,800,805,7800.084850696345,7724.302382172873,-0.00971559540364575,27
63,short,800,805,7800.084850696345,7788.759184991282,-0.0014519926285226914,4
38,short,800,805,7800.084850696345,7497.114088057339,-0.038841982932013575,16
13,short,800,805,7800.084850696345,7633.721795689429,-0.021328364779527154,14
28,short,800,805,7800.084850696345,7648.378471655333,-0.01944932419901413,30
48,short,800,805,7800.084850696345,7473.326835861546,-0.04189159747481819,5
63,short,805,810,30615.046370316843,30928.024019649227,0.01022300098933826,4
13,short,805,810,30615.046370316843,30069.703509182338,-0.017812903320089335,14
13,long,810,815,60997.727528831565,51866.283929372585,-0.14970137363138414,13
73,long,819,824,8647.125229435838,8397.06486884213,-0.02891832302167585,33
36,long,819,824,8647.125229435838,8438.444335103224,-0.024132979319212322,19
60,long,819,824,8647.125229435838,8302.381164627925,-0.039868055065788166,25
35,long,819,824,8647.125229435838,8481.100863926122,-0.019199949243772885,10
48,short,819,824,8647.125229435838,8780.325096710052,0.015403947987336464,4
49,short,819,824,8647.125229435838,8184.743339084258,-0.05347232497311105,2
