,portfolio_value
2025-01-06,1.0
2025-01-07,1.0005727182712756
2025-01-08,1.0007422527648975
2025-01-10,0.9963888638236698
2025-01-13,0.9927256843697014
2025-01-14,0.9961519536212312
2025-01-15,0.9982624765597425
2025-01-16,1.0047414442163016
2025-01-17,1.0072135238582143
2025-01-21,1.0143068595082094
2025-01-22,1.0159442247899642
2025-01-23,1.019396188848485
2025-01-24,1.0206704678189245
2025-01-27,1.0230046106526363
2025-01-28,1.0229556506070159
2025-01-29,1.0239901941520106
2025-01-30,1.0246564893944536
2025-01-31,1.0238548336931463
2025-02-03,1.025224490964919
2025-02-04,1.0265231634167618
2025-02-05,1.030445556695689
2025-02-06,1.0330092057790994
2025-02-07,1.0351720585543775
2025-02-10,1.0297728674350322
2025-02-11,1.0315982394159804
2025-02-12,1.0277666944018675
2025-02-13,1.0312853379763707
2025-02-14,1.0240717912624948
2025-02-18,1.0254378409335634
2025-02-19,1.0273817995331846
2025-02-20,1.0235388173636635
2025-02-21,1.0233205923817756
2025-02-24,1.0203048427904233
2025-02-25,1.021992931523249
2025-02-26,1.024799616006656
2025-02-27,1.0224193838082414
2025-02-28,1.023495969833939
2025-03-03,1.017735485773316
2025-03-04,1.0126855680673863
2025-03-05,1.0158068183967506
2025-03-06,1.008556746447051
2025-03-07,1.0055271530053727
2025-03-10,1.012427526439254
2025-03-11,1.0059458910262449
2025-03-12,1.0137580011488556
2025-03-13,1.0225477637584606
2025-03-14,1.0181638599893241
2025-03-17,1.0211273204063191
2025-03-18,1.0348832715865237
2025-03-19,1.038730063792814
2025-03-20,1.0421806680563617
2025-03-21,1.042065372849851
2025-03-24,1.0446663304693677
2025-03-25,1.0424273833668616
2025-03-26,1.0486017124077807
2025-03-27,1.0472789571122756
2025-03-28,1.0498538992257624
2025-03-31,1.0441464835084961
2025-04-01,1.0431029229074575
2025-04-02,1.042537840867435
2025-04-03,1.0434853552547878
2025-04-04,1.0403814828769438
2025-04-07,1.0406622769156424
2025-04-08,1.0451716814574947
2025-04-09,1.0368626630614202
2025-04-10,1.0413322978138275
2025-04-11,1.0379907426407688
2025-04-14,1.0371959000938806
2025-04-15,1.0376719581340574
2025-04-16,1.0404767587848538
2025-04-17,1.0373243022893124
2025-04-21,1.0378942420704547
2025-04-22,1.0369394728687085
2025-04-23,1.0392283253260173
2025-04-24,1.0376229341887788
2025-04-25,1.0383067590318256
2025-04-28,1.0349869502854827
2025-04-29,1.0374432139633125
2025-04-30,1.0373090194805117
2025-05-01,1.0404554728627127
2025-05-02,1.0372954185536116
2025-05-05,1.0369958790526295
2025-05-06,1.041305841159335
2025-05-07,1.0411730842125857
2025-05-08,1.0399036048682624
2025-05-09,1.0437595425137105
2025-05-12,1.0467899938256258
2025-05-13,1.0517269002253309
2025-05-14,1.053493334212387
2025-05-15,1.0536869599491472
2025-05-16,1.052309951479979
2025-05-19,1.0529833868768286
2025-05-20,1.052047902059836
2025-05-21,1.0558490402861822
2025-05-22,1.0527904267003338
2025-05-23,1.0495187863616846
2025-05-27,1.0532928604055491
2025-05-28,1.054747216885894
2025-05-29,1.0541678904875649
2025-05-30,1.054817848293848
2025-06-02,1.054445165746689
2025-06-03,1.0540938683638166
2025-06-04,1.0479413004239333
2025-06-05,1.048331243203493
2025-06-06,1.0517594738478728
2025-06-09,1.0532460180427998
2025-06-10,1.0534564386875038
2025-06-11,1.055725569496662
2025-06-12,1.0590703593397541
2025-06-13,1.0538384672811292
2025-06-16,1.052767297398003
2025-06-17,1.0541017413859068
2025-06-18,1.0552927482422678
2025-06-20,1.055632655394748
2025-06-23,1.0635427677584368
2025-06-24,1.070453092399494
2025-06-25,1.0667722772127075
2025-06-26,1.071541116307997
2025-06-27,1.075297496066592
2025-06-30,1.073801774566327
2025-07-01,1.0760105593943854
2025-07-02,1.072567350772089
2025-07-03,1.0743359790123683
2025-07-07,1.0764096686952054
2025-07-08,1.0715737243831496
2025-07-09,1.0702449075987412
2025-07-10,1.071370967947385
2025-07-11,1.0660085470641096
2025-07-14,1.073315431503161
2025-07-15,1.0727166802353139
2025-07-16,1.0753716604746566
2025-07-17,1.078122050335364
2025-07-18,1.0781305726286745
2025-07-21,1.0779594654763354
2025-07-22,1.0700523513058127
2025-07-23,1.066238477717715
2025-07-24,1.0594502286878975
2025-07-25,1.0569320977543712
2025-07-28,1.0679927985200344
2025-07-29,1.0654076552675014
2025-07-30,1.067787057407765
2025-07-31,1.0715289807914494
2025-08-01,1.0726396821422943
2025-08-04,1.0864848326446424
2025-08-05,1.076118728284088
2025-08-06,1.0765493506733923
2025-08-07,1.0835751365409236
2025-08-08,1.0989437613286523
2025-08-11,1.1038543879110947
2025-08-12,1.111563048081674
2025-08-13,1.1096251794301581
2025-08-14,1.1064381854705865
2025-08-15,1.1040922286725015
2025-08-18,1.1025048844957035
2025-08-19,1.1043091289303575
2025-08-20,1.1048269996673348
2025-08-21,1.1075498480604757
