,portfolio_value
2015-08-07,1.0
2015-08-08,1.0
2015-08-09,1.0
2015-08-10,1.0
2015-08-11,1.0
2015-08-12,1.0
2015-08-13,1.0
2015-08-14,1.0
2015-08-15,1.0
2015-08-16,1.0
2015-08-17,1.0
2015-08-18,1.0
2015-08-19,1.0
2015-08-20,1.0
2015-08-21,1.0
2015-08-22,1.0
2015-08-23,1.0
2015-08-24,1.0
2015-08-25,1.0
2015-08-26,1.0
2015-08-27,1.0
2015-08-28,1.0
2015-08-29,1.0
2015-08-30,1.0
2015-08-31,1.0
2015-09-01,1.0
2015-09-02,1.0
2015-09-03,1.0
2015-09-04,1.0
2015-09-05,1.0
2015-09-06,1.0
2015-09-07,1.0
2015-09-08,1.0
2015-09-09,1.0
2015-09-10,1.0
2015-09-11,1.0
2015-09-12,1.0
2015-09-13,1.0
2015-09-14,1.0
2015-09-15,1.0
2015-09-16,1.0
2015-09-17,1.0
2015-09-18,1.0
2015-09-19,1.0
2015-09-20,1.0
2015-09-21,1.0
2015-09-22,1.0
2015-09-23,1.0
2015-09-24,1.0
2015-09-25,1.0
2015-09-26,1.0
2015-09-27,1.0
2015-09-28,1.0
2015-09-29,1.0
2015-09-30,1.0
2015-10-01,1.0
2015-10-02,1.0
2015-10-03,1.0
2015-10-04,1.0
2015-10-05,1.0
2015-10-06,1.0
2015-10-07,1.0
2015-10-08,1.0
2015-10-09,1.0
2015-10-10,1.0
2015-10-11,1.0
2015-10-12,1.0
2015-10-13,1.0
2015-10-14,1.0
2015-10-15,1.0
2015-10-16,1.0
2015-10-17,1.0
2015-10-18,1.0
2015-10-19,1.0
2015-10-20,1.0
2015-10-21,1.0
2015-10-22,1.0
2015-10-23,1.0
2015-10-24,1.0
2015-10-25,1.0
2015-10-26,1.0
2015-10-27,1.0
2015-10-28,1.0
2015-10-29,1.0
2015-10-30,1.0
2015-10-31,1.0
2015-11-01,1.0
2015-11-02,1.0
2015-11-03,1.0
2015-11-04,1.0
2015-11-05,1.0
2015-11-06,1.0
2015-11-07,1.0
2015-11-08,1.0
2015-11-09,1.0
2015-11-10,1.0
2015-11-11,1.0
2015-11-12,1.0
2015-11-13,1.0
2015-11-14,1.0
2015-11-15,1.0
2015-11-16,1.0
2015-11-17,1.0
2015-11-18,1.0
2015-11-19,1.0
2015-11-20,1.0
2015-11-21,1.0
2015-11-22,1.0
2015-11-23,1.0
2015-11-24,1.0
2015-11-25,1.0
2015-11-26,1.0
2015-11-27,1.0
2015-11-28,1.0
2015-11-29,1.0
2015-11-30,0.979834349624359
2015-12-01,0.9353676715240061
2015-12-02,0.9184938239206547
2015-12-03,0.9257128601981873
2015-12-04,0.926303676511014
2015-12-05,0.9814680695252282
2015-12-06,0.9742089580859274
2015-12-07,1.0067985059001385
2015-12-08,1.0380567487072163
2015-12-09,1.0380362293305085
2015-12-10,1.0347258728602515
2015-12-11,1.104484465287224
2015-12-12,1.0506586482463987
2015-12-13,1.0521318334929095
2015-12-14,1.0630125960703867
2015-12-15,1.120539839469577
2015-12-16,1.0883262599162808
2015-12-17,1.0957381000858626
2015-12-18,1.1072776447300998
2015-12-19,1.1003771842540586
2015-12-20,1.0497250525694037
2015-12-21,1.0334351338687686
