,portfolio_value
2010-10-01,0.9942025760649611
2010-10-04,0.9995894702282356
2010-10-05,0.9793351175195699
2010-10-06,0.9984809219661056
2010-10-07,1.0018574451430637
2010-10-08,1.0511730131624815
2010-10-11,1.064178067402129
2010-10-12,1.0763460616595772
2010-10-13,1.062057494286138
2010-10-14,1.0554538426420803
2010-10-15,1.0337571316225878
2010-10-18,1.0479445260578422
2010-10-19,1.0574522443569525
2010-10-20,1.066254484625425
2010-10-21,1.0315137528625968
2010-10-22,1.0020239062287681
2010-10-25,1.0006213096502543
2010-10-26,1.0311599778590024
2010-10-27,1.0642918469088367
2010-10-28,1.0651591472279658
2010-10-29,1.0603356027399986
2010-11-01,1.044922974456229
2010-11-02,1.0603252546334028
2010-11-03,1.0687562451387818
2010-11-04,1.062081315663295
2010-11-05,1.0881033837072294
2010-11-08,1.0828240118647674
2010-11-09,1.0926967711911686
2010-11-10,1.0893221485420772
2010-11-11,1.080230667385967
2010-11-12,1.0573191101401487
2010-11-15,1.0782631909878637
2010-11-16,1.115653018111238
2010-11-17,1.1017810826108745
2010-11-18,1.0740640144086329
2010-11-19,1.0461122503701603
2010-11-22,1.0373731735937197
2010-11-23,1.0248390132500564
2010-11-24,0.9872320042205143
2010-11-26,1.0119640726818997
2010-11-29,1.008744425593966
2010-11-30,0.9989414229785414
2010-12-01,0.9558530579260102
2010-12-02,0.986360735202177
2010-12-03,1.0360737300923615
2010-12-06,1.0407087130833492
2010-12-07,1.0386872006288042
2010-12-08,1.0348637736012962
2010-12-09,1.034694982247562
2010-12-10,1.0323277944034919
2010-12-13,1.0386151713820098
2010-12-14,1.0383410116098475
2010-12-15,1.044883810639791
2010-12-16,1.0324429519283356
2010-12-17,1.0381177335507465
2010-12-20,1.0365197320067887
2010-12-21,1.0319190502041273
2010-12-22,1.0357116306450942
2010-12-23,1.0410701286877158
2010-12-27,1.0389455446981113
2010-12-28,1.0377465225047642
2010-12-29,1.0386632242956244
2010-12-30,1.0410603394440427
2010-12-31,1.039595325429465
2011-01-03,1.042103340808205
2011-01-04,1.2011478022594109
2011-01-05,1.1098252180553567
2011-01-06,1.154751941557974
2011-01-07,1.2009226508365674
2011-01-10,1.2010269082812555
2011-01-11,1.1094496019150126
2011-01-12,1.1568684498678217
2011-01-13,1.177861386299649
2011-01-14,1.0641231803650266
