date,net_flow_ratio
2010-03-31,-0.26061743
2010-04-30,-5.2158653e-06
2010-05-31,-5.8112983e-06
2010-06-30,-6.4021788e-06
2010-07-31,-7.1846357e-06
2010-08-31,-6.3072184e-06
2010-09-30,-7.050196e-06
2010-10-31,-6.786881e-06
2010-11-30,-0.306769
2010-12-31,-0.010122312
2011-01-31,-0.02067841
2011-02-28,-0.008314497
2011-03-31,-0.00051086413
2011-04-30,0.009491504
2011-05-31,-0.0030942878
2011-06-30,-0.00056784105
2011-07-31,-0.0007447081
2011-08-31,-0.0015066917
2011-09-30,-0.0010601336
2011-10-31,-0.0005346962
2011-11-30,-0.0015261977
2011-12-31,-0.0023663852
2012-01-31,-0.0036148718
2012-02-29,-0.00084841764
2012-03-31,0.02990186
2012-04-30,0.02832499
2012-05-31,0.026407696
2012-06-30,0.025300117
2012-07-31,0.022893023
2012-08-31,0.023730898
2012-09-30,0.030346138
2012-10-31,0.030320045
2012-11-30,0.027424749
2012-12-31,0.011020496
2013-01-31,0.011726322
2013-02-28,0.012343539
2013-03-31,0.016259283
2013-04-30,14.824319
2013-05-31,12.876734
2013-06-30,5.739588
2013-07-31,3.2705986
2013-08-31,0.008513706
2013-09-30,0.0075463206
2013-10-31,0.009762886
2013-11-30,0.010559343
2013-12-31,0.012389869
2014-01-31,0.01209572
2014-02-28,0.011280039
2014-03-31,0.013942896
2014-04-30,0.05035688
2014-05-31,0.05336753
2014-06-30,0.05451612
2014-07-31,0.050891247
2014-08-31,0.0478287
2014-09-30,0.052878752
2014-10-31,0.0521236
2014-11-30,0.009583558
2014-12-31,0.012335516
2015-01-31,0.01825361
2015-02-28,0.04898574
2015-03-31,0.060183045
2015-04-30,0.057502504
2015-05-31,0.05627158
2015-06-30,0.06095191
2015-07-31,0.055186074
2015-08-31,0.08630613
2015-09-30,0.0872307
2015-10-31,0.08287263
2015-11-30,0.08516749
2015-12-31,0.07015763
2016-01-31,0.07860493
2016-02-29,0.09106721
2016-03-31,0.09016398
2016-04-30,0.08389657
2016-05-31,0.08486301
2016-06-30,0.08467401
2016-07-31,0.088916324
2016-08-31,0.084819324
2016-09-30,0.08568248
2016-10-31,0.06566686
2016-11-30,0.085878916
2016-12-31,0.06171963
2017-01-31,0.079085454
2017-02-28,0.07625335
2017-03-31,0.068872504
2017-04-30,0.06973692
2017-05-31,0.06856527
2017-06-30,0.05943206
2017-07-31,0.045666654
2017-08-31,0.05690016
2017-09-30,0.050159633
2017-10-31,0.04967828
2017-11-30,0.05384783
2017-12-31,0.045157023
2018-01-31,0.0568272
2018-02-28,0.051145114
2018-03-31,0.057452504
2018-04-30,0.043442328
2018-05-31,0.046198737
2018-06-30,0.04409206
2018-07-31,0.047002126
2018-08-31,0.055394936
2018-09-30,0.05935701
2018-10-31,0.06660028
2018-11-30,0.06606346
2018-12-31,0.09177146
2019-01-31,0.042629268
2019-02-28,0.041085552
2019-03-31,0.068419114
2019-04-30,0.06499804
2019-05-31,0.07076992
2019-06-30,0.045696512
2019-07-31,0.04901414
2019-08-31,0.048624787
2019-09-30,0.043840565
2019-10-31,0.07120257
2019-11-30,0.021708416
2019-12-31,0.039343726
2020-01-31,0.041451074
2020-02-29,0.037705265
2020-03-31,0.046769526
2020-04-30,0.066813916
2020-05-31,0.07850306
2020-06-30,0.05944478
2020-07-31,0.07256431
2020-08-31,0.06633275
2020-09-30,0.06398039
2020-10-31,0.07425388
2020-11-30,0.058690246
2020-12-31,0.050713345
2021-01-31,0.052198034
2021-02-28,0.09227386
2021-03-31,0.06317634
2021-04-30,0.07300423
2021-05-31,0.0658364
2021-06-30,0.06476844
2021-07-31,0.06380041
2021-08-31,0.069653004
2021-09-30,0.074213095
2021-10-31,0.07400877
2021-11-30,0.07975107
2021-12-31,0.07396248
2022-01-31,0.08134935
2022-02-28,0.08051428
2022-03-31,0.10601276
2022-04-30,0.107160896
2022-05-31,0.11091273
2022-06-30,0.123417296
2022-07-31,0.11209438
2022-08-31,0.10366244
2022-09-30,0.111623295
2022-10-31,0.107771106
2022-11-30,0.105129555
2022-12-31,0.07655576
2023-01-31,0.085710384
2023-02-28,0.09406645
2023-03-31,0.12093195
2023-04-30,0.0528509
2023-05-31,0.0534272
2023-06-30,0.046935175
2023-07-31,0.04443861
2023-08-31,0.04908098
2023-09-30,0.042196754
2023-10-31,0.04094194
2023-11-30,0.039854247
2023-12-31,0.034057
2024-01-31,0.033085756
2024-02-29,0.044959027
2024-03-31,0.107922055
2024-04-30,0.08336325
2024-05-31,0.077181965
2024-06-30,0.08380689
2024-07-31,0.09591632
2024-08-31,0.087404616
2024-09-30,0.08741686
2024-10-31,0.08174955
2024-11-30,0.079169095
2024-12-31,0.080450036
2025-01-31,0.09837278
2025-02-28,0.093765795
2025-03-31,0.094808005
2025-04-30,0.095995925
2025-05-30,0.07770245
2025-06-30,0.09043746
2025-07-31,0.089258514
2025-08-29,0.069688044
2025-09-30,0.08502101
2025-10-31,0.06697481
2025-11-28,0.09000907
2025-12-31,0.051641647
