,portfolio_value
2025-01-07,1.00064915570523
2025-01-08,1.00182887051484
2025-01-10,0.9989246741832816
2025-01-13,0.9967988673175048
2025-01-14,0.9999765587313934
2025-01-15,1.0020272275601514
2025-01-16,1.0064209781414226
2025-01-17,1.009621358381836
2025-01-21,1.0156459414348895
2025-01-22,1.0176619523508152
2025-01-23,1.0202938965033328
2025-01-24,1.0209397486741796
2025-01-27,1.0206164455050553
2025-01-28,1.023865755528402
2025-01-29,1.0238006867777076
2025-01-30,1.025028069843514
2025-01-31,1.0245746485462086
2025-02-03,1.0254545987006447
2025-02-04,1.0263022749401718
2025-02-05,1.0275167803249425
2025-02-06,1.0283014893489553
2025-02-07,1.0289753494580742
2025-02-10,1.0276615147965686
2025-02-11,1.0279666793158677
2025-02-12,1.0271018056415526
2025-02-13,1.0286233214887628
2025-02-14,1.0253872459791513
2025-02-18,1.0260885388110275
2025-02-19,1.0270386439729495
2025-02-20,1.0254855083976468
2025-02-21,1.0250528112572128
2025-02-24,1.024273177314465
2025-02-25,1.0245408706981358
2025-02-26,1.025970806530595
2025-02-27,1.0246764932853747
2025-02-28,1.026135507537071
2025-03-03,1.023327816418063
2025-03-04,1.0220173542733508
2025-03-05,1.0240539646146702
2025-03-06,1.0206675337265259
2025-03-07,1.0195405673284454
2025-03-10,1.0223383175929386
2025-03-11,1.021274876325375
2025-03-12,1.024818726402251
2025-03-13,1.0272734858319463
2025-03-14,1.0263282618263294
2025-03-17,1.0269815702047274
2025-03-18,1.032065093210337
2025-03-19,1.0340332653707764
2025-03-20,1.035001057361962
2025-03-21,1.0353489092176977
2025-03-24,1.036417692217787
2025-03-25,1.0354266138110066
2025-03-26,1.0373933279075387
2025-03-27,1.0372423924271392
2025-03-28,1.038150340402119
2025-03-31,1.0365706963163515
2025-04-01,1.0363630664632064
2025-04-02,1.0359050096560385
2025-04-03,1.0368752577998903
2025-04-04,1.0373180350943725
2025-04-07,1.0382316888947791
2025-04-08,1.0401334979267913
2025-04-09,1.0373446178338974
2025-04-10,1.0381939113704615
2025-04-11,1.037396705640685
2025-04-14,1.03678573565198
2025-04-15,1.0368749739411929
2025-04-16,1.037896238789289
2025-04-17,1.036711954364401
2025-04-21,1.036894854430428
2025-04-22,1.0366729959832401
2025-04-23,1.0375364878293876
2025-04-24,1.0369082358336665
2025-04-25,1.0370796337754624
2025-04-28,1.0356883093173013
2025-04-29,1.0366994064827808
2025-04-30,1.0368163333392766
2025-05-01,1.0380662697825205
2025-05-02,1.036825560246191
2025-05-05,1.0374831368509132
2025-05-06,1.0389438150045769
2025-05-07,1.038751333139555
2025-05-08,1.038562011321356
2025-05-09,1.0401237191308939
2025-05-12,1.041527027411591
2025-05-13,1.0429255088849587
2025-05-14,1.0434807019339223
2025-05-15,1.0435509003206715
2025-05-16,1.0429192010339237
2025-05-19,1.0431284725315133
2025-05-20,1.0426625145947954
2025-05-21,1.0442362684223387
2025-05-22,1.0432946204989857
2025-05-23,1.0419880503528418
2025-05-27,1.0435808514886349
2025-05-28,1.0440074049768397
2025-05-29,1.0439959950452382
2025-05-30,1.045161579451124
2025-06-02,1.045130391909512
2025-06-03,1.044319162388661
2025-06-04,1.0381989211556628
2025-06-05,1.037178065082924
2025-06-06,1.0404892508058634
2025-06-09,1.0419076001020984
2025-06-10,1.042093657893647
2025-06-11,1.0443463635826038
2025-06-12,1.0478996020814462
2025-06-13,1.0426885186195196
2025-06-16,1.04211761834274
2025-06-17,1.043077897862552
2025-06-18,1.0445025026272947
2025-06-20,1.0448526249474528
2025-06-23,1.053112611168737
2025-06-24,1.060292289699597
2025-06-25,1.0566216877528671
2025-06-26,1.061196528906532
2025-06-27,1.06485933560636
2025-06-30,1.0640165484420143
2025-07-01,1.061537399506092
2025-07-02,1.0561737627189378
2025-07-03,1.0564919483257642
2025-07-07,1.0587718544097313
2025-07-08,1.0542478244185636
2025-07-09,1.0537431179449561
2025-07-10,1.054260779054856
2025-07-11,1.050089091658594
2025-07-14,1.0563515470711846
2025-07-15,1.0588791952591303
2025-07-16,1.0608068124272936
2025-07-17,1.0627170286212815
2025-07-18,1.0629641941363577
2025-07-21,1.063538966592549
2025-07-22,1.055277623256797
2025-07-23,1.053243106432126
2025-07-24,1.049487126702688
2025-07-25,1.0492192390602322
2025-07-28,1.0588391060379323
2025-07-29,1.0568659881193376
2025-07-30,1.0609512210589915
2025-07-31,1.065307966053593
2025-08-01,1.0655656037742958
2025-08-04,1.0818178560651213
2025-08-05,1.0697457438869877
2025-08-06,1.0708012647641625
2025-08-07,1.0770241924489214
2025-08-08,1.0919108680280385
2025-08-11,1.095538602555565
2025-08-12,1.101420978165699
2025-08-13,1.098544487326932
2025-08-14,1.0957343084597915
2025-08-15,1.094364560171257
2025-08-18,1.092297394782222
2025-08-19,1.09360434018643
2025-08-20,1.0946274456183913
2025-08-21,1.0973337757151034
2025-08-22,1.1004390943859155
2025-08-25,1.0985206722545169
2025-08-26,1.098927878840646
2025-08-27,1.0987322807475264
2025-08-28,1.09796704192596
2025-08-29,1.0936293839434252
2025-09-02,1.086059801769833
2025-09-03,1.088228164107817
2025-09-04,1.0906704593295005
2025-09-05,1.0892823051915934
2025-09-08,1.0952219168267403
2025-09-09,1.0878914436044507
2025-09-10,1.084746417067019
2025-09-11,1.0866674930558649
2025-09-12,1.0832184292133742
2025-09-15,1.0821367733670983
2025-09-16,1.0800809951947519
2025-09-17,1.0798518346687804
2025-09-18,1.0740595367997836
2025-09-19,1.0757393189501616
2025-09-22,1.0722672428879136
2025-09-23,1.0748204005204898
2025-09-24,1.0685321556074303
2025-09-25,1.0752444337714242
2025-09-26,1.0747670371097056
2025-09-29,1.0751159367480054
2025-09-30,1.0763481627340379
2025-10-01,1.0800708892246165
2025-10-02,1.0828390768492326
2025-10-03,1.0815780972212152
2025-10-06,1.0886371238361325
2025-10-07,1.092311120876405
2025-10-08,1.0903633508366941
2025-10-09,1.0926465759163244
2025-10-10,1.091432141505338
2025-10-13,1.1095172358554783
2025-10-14,1.112358533051503
2025-10-15,1.1005779402939748
2025-10-16,1.0938153468229088
2025-10-17,1.0941274289386955
2025-10-20,1.1045379206217805
2025-10-21,1.1075780724306499
2025-10-22,1.0944394541008278
2025-10-23,1.0890952399118905
