date,portfolio_value
2010-07-30,9941458.207383562
2010-08-02,10095540.144954626
2010-08-03,9979124.635728406
2010-08-04,10095291.268912965
2010-08-05,9981546.144782852
2010-08-06,9931064.763164917
2010-08-09,10012691.39299845
2010-08-10,9818954.949768968
2010-08-11,9483105.130401723
2010-08-12,9427970.875049086
2010-08-13,9322606.363189613
2010-08-16,9347450.811789077
2010-08-17,9521869.083132444
2010-08-18,9546849.53253807
2010-08-19,9342720.91815925
2010-08-20,9345937.804617938
2010-08-23,9256309.959324393
2010-08-24,9133234.927822104
2010-08-25,9268568.554038286
2010-08-26,9205726.926792605
2010-08-27,9443769.094230281
2010-08-30,9265129.583177838
2010-08-31,9207443.87382288
2010-09-01,9524230.644147148
2010-09-02,9641201.239205694
2010-09-03,9787947.779010909
2010-09-07,9595659.877483446
2010-09-08,9666107.33334133
2010-09-09,9686740.860322263
2010-09-10,9709242.11224529
2010-09-13,9966259.372688064
2010-09-14,9946620.378635826
2010-09-15,10013739.825913219
2010-09-16,9961307.9257443
2010-09-17,10008745.576697296
2010-09-20,10234630.11597051
2010-09-21,10185669.348381797
2010-09-22,10079148.15919405
2010-09-23,10033393.709417189
2010-09-24,10290382.856425207
2010-09-27,10233957.657375716
2010-09-28,10335212.654821096
2010-09-29,10359832.12248772
2010-09-30,10330451.33404232
2010-10-01,10371468.444271157
2010-10-04,10223886.235967739
2010-10-05,10464551.834553275
2010-10-06,10409486.591738086
2010-10-07,10370102.135872962
2010-10-08,10496235.418467268
2010-10-11,10525104.641650379
2010-10-12,10556156.947025679
2010-10-13,10680299.011106635
2010-10-14,10629348.363929538
2010-10-15,10618555.875543606
2010-10-18,10691223.622895868
2010-10-19,10467681.350170832
2010-10-20,10574282.309987273
2010-10-21,10532504.56226152
2010-10-22,10652618.07019735
2010-10-25,10728691.078532048
2010-10-26,10708861.51053224
2010-10-27,10712808.182614911
2010-10-28,10709417.983370498
2010-10-29,10740388.179231793
2010-11-01,10668819.934157265
2010-11-02,10875525.788390214
2010-11-03,10882595.648588933
2010-11-04,11114181.921690775
2010-11-05,11168850.833534984
2010-11-08,11170791.787096808
2010-11-09,11107541.3131416
2010-11-10,11226036.731421484
2010-11-11,11164675.25958935
2010-11-12,11030692.116377642
2010-11-15,11054238.217289507
2010-11-16,10876154.869686358
2010-11-17,10922855.433468198
2010-11-18,11067469.246511035
2010-11-19,11099412.69502398
2010-11-22,11127417.346728928
2010-11-23,11038298.288542248
2010-11-24,11269574.158345588
2010-11-26,11202762.544330118
2010-11-29,11198114.772845626
2010-11-30,11121585.267451556
2010-12-01,11328726.267721586
2010-12-02,11445032.419920001
2010-12-03,11519331.226519687
2010-12-06,11576059.008547895
2010-12-07,11653453.02781929
2010-12-08,11656704.95695073
2010-12-09,11677743.959540699
2010-12-10,11798621.963381605
2010-12-13,11731519.151546298
2010-12-14,11738932.945868637
2010-12-15,11692845.023431469
2010-12-16,11781055.723023644
2010-12-17,11795925.54056437
2010-12-20,11839911.421515876
2010-12-21,11982302.327243077
2010-12-22,11998081.446578529
2010-12-23,12007619.25410311
2010-12-27,12025820.48693699
2010-12-28,11949674.018300496
2010-12-29,11963740.683903424
2010-12-30,11988037.725555586
2010-12-31,11888475.721206836
2011-01-03,12062530.694277331
2011-01-04,11921168.738529783
2011-01-05,12024736.122416554
2011-01-06,12012417.126680037
2011-01-07,11980323.444004446
2011-01-10,11983862.902082745
2011-01-11,12026922.365363304
2011-01-12,12109263.343156978
2011-01-13,12123748.184006272
2011-01-14,12247141.792461826
2011-01-18,12219451.979463993
2011-01-19,12002003.404703265
2011-01-20,11909824.157129517
2011-01-21,11833598.561010126
2011-01-24,11937428.96403022
2011-01-25,11929778.858432567
2011-01-26,12078638.97561714
2011-01-27,12140207.726220898
2011-01-28,11848225.052281052
2011-01-31,11863794.045233052
2011-02-01,12066069.99935093
2011-02-02,12061530.563810408
2011-02-03,12072087.616112942
2011-02-04,12128609.216754956
2011-02-07,12216268.686272606
2011-02-08,12292061.831098346
2011-02-09,12235016.579865135
2011-02-10,12252756.380029872
2011-02-11,12375559.049385995
2011-02-14,12449810.362190882
2011-02-15,12385103.471597314
2011-02-16,12466714.535679664
2011-02-17,12536513.511498336
2011-02-18,12561817.075700566
2011-02-22,12303400.24673546
2011-02-23,12119643.26103236
2011-02-24,12166294.444176711
2011-02-25,12347955.55648268
2011-02-28,12358693.196191669
2011-03-01,12179491.582549408
2011-03-02,12211162.535040759
2011-03-03,12398712.038187567
2011-03-04,12336186.017918546
2011-03-07,12177059.155534195
2011-03-08,12338196.527435444
2011-03-09,12347295.912978064
2011-03-10,12137267.574673455
2011-03-11,12154064.622651216
2011-03-14,12064892.42400173
2011-03-15,11960094.779437378
2011-03-16,11870189.273286598
2011-03-17,11885611.752354214
2011-03-18,12018768.340918938
2011-03-21,12218945.037013885
2011-03-22,12168754.620547585
2011-03-23,12189286.855766626
2011-03-24,12291277.610851299
2011-03-25,12339285.022313029
2011-03-28,12302061.88863945
2011-03-29,12378277.597549384
2011-03-30,12503543.452139875
2011-03-31,12489620.805524945
2011-04-01,12507199.369353745
2011-04-04,12506729.942722525
2011-04-05,12554841.507577129
2011-04-06,12619538.13551572
2011-04-07,12591789.013537493
2011-04-08,12491245.271356206
2011-04-11,12423713.12851382
2011-04-12,12328685.757697374
2011-04-13,12346138.257779969
2011-04-14,12369439.099970404
2011-04-15,12458550.14073316
2011-04-18,12313253.810115285
2011-04-19,12346253.078883298
2011-04-20,12526574.314952154
2011-04-21,12567356.352945268
2011-04-25,12539657.341894928
2011-04-26,12640190.06004414
2011-04-27,12727765.059244925
2011-04-28,12736519.55609658
2011-04-29,12750027.991428744
2011-05-02,12625024.051581891
2011-05-03,12492650.099604363
2011-05-04,12449071.449367022
2011-05-05,12436873.977131119
2011-05-06,12496759.877482843
2011-05-09,12573589.458965199
2011-05-10,12787917.334480584
2011-05-11,12666710.99610852
2011-05-12,12770226.347064583
2011-05-13,12658143.603643972
2011-05-16,12475133.076908294
2011-05-17,12419878.592864782
2011-05-18,12549667.807258703
2011-05-19,12558930.068619566
2011-05-20,12517748.979426
2011-05-23,12343309.99612846
2011-05-24,12269927.604895156
2011-05-25,12320888.183793837
2011-05-26,12428607.257575657
2011-05-27,12496520.074796326
2011-05-31,12578803.732375477
2011-06-01,12347283.158787265
2011-06-02,12390867.19224377
2011-06-03,12246485.323687239
2011-06-06,12103843.931004876
2011-06-07,12119957.265351817
2011-06-08,12017357.525758471
2011-06-09,12086762.354113914
2011-06-10,11971192.977457024
2011-06-13,11940439.589491362
2011-06-14,12119892.86992857
2011-06-15,12000831.88603407
2011-06-16,12010289.376759458
2011-06-17,11965098.081347331
2011-06-20,12032577.979819128
2011-06-21,12204779.023937825
2011-06-22,12105369.468369486
2011-06-23,12145905.464096002
2011-06-24,12089304.638929578
2011-06-27,12170037.85216958
2011-06-28,12293292.040610893
2011-06-29,12297814.796928423
2011-06-30,12392072.331615068
2011-07-01,12520520.38100716
2011-07-05,12579689.61205505
2011-07-06,12597014.928449705
2011-07-07,12791591.076662378
2011-07-08,12702520.334723214
2011-07-11,12511223.918592913
2011-07-12,12444605.342299046
2011-07-13,12518227.404877868
2011-07-14,12375582.826582007
2011-07-15,12432326.589511184
2011-07-18,12298317.260611366
2011-07-19,12520227.574030254
2011-07-20,12479017.015782822
2011-07-21,12565672.133456985
2011-07-22,12592261.749644088
2011-07-25,12469108.486340174
2011-07-26,12380839.387274288
2011-07-27,12099536.712340556
2011-07-28,12075493.294393716
2011-07-29,12026138.096854426
2011-08-01,11978216.31466012
2011-08-02,11668187.033108696
2011-08-03,11745735.308240814
2011-08-04,11188944.34968993
2011-08-05,11053169.93758212
2011-08-08,10331651.232551157
2011-08-09,10800067.616542526
2011-08-10,10354282.216115797
2011-08-11,10741035.503988126
2011-08-12,10745621.269357791
2011-08-15,10947066.597446173
2011-08-16,10827889.471344624
2011-08-17,10821380.755258871
2011-08-18,10362203.981857598
2011-08-19,10186252.227672275
2011-08-22,10225319.112952797
2011-08-23,10602035.783632506
2011-08-24,10710290.42059567
2011-08-25,10477961.91108033
2011-08-26,10656612.98783882
2011-08-29,11027662.052072197
2011-08-30,11039531.492207693
2011-08-31,11012520.4983412
2011-09-01,10804093.1581074
2011-09-02,10468412.97502413
2011-09-06,10439916.270997489
2011-09-07,10802629.30168829
2011-09-08,10616992.6700017
2011-09-09,10372044.907297751
2011-09-12,10542602.930119539
2011-09-13,10695491.433725402
2011-09-14,10865390.638703706
2011-09-15,10992066.079078082
2011-09-16,11017184.71760328
2011-09-19,10843149.215528017
2011-09-20,10678163.827762619
2011-09-21,10407787.999074437
2011-09-22,10192020.529751353
2011-09-23,10320254.309151052
2011-09-26,10495553.68870599
2011-09-27,10694155.123353582
2011-09-28,10368124.791300783
2011-09-29,10476405.703960257
2011-09-30,10244862.694231953
2011-10-03,9787593.949786963
2011-10-04,10292075.130727168
2011-10-05,10419985.60184242
2011-10-06,10627812.673563832
2011-10-07,10412209.454114005
2011-10-10,10768022.666307371
2011-10-11,10850637.541243212
2011-10-12,11029193.465555599
2011-10-13,11035909.694428975
2011-10-14,11205427.318656735
2011-10-17,10850698.920679213
2011-10-18,11145528.246564148
2011-10-19,10950437.048475275
2011-10-20,10938081.643211162
2011-10-21,11139225.2659319
2011-10-24,11451943.430248637
2011-10-25,11173526.593916548
2011-10-26,11351977.586288856
2011-10-27,11890794.387338346
2011-10-28,11856741.50608589
2011-10-31,11562173.780706264
2011-11-01,11196477.058622269
2011-11-02,11424856.12868231
2011-11-03,11726183.866447056
2011-11-04,11671119.980135245
2011-11-07,11678026.749001015
2011-11-08,11831277.052210301
2011-11-09,11374567.18242617
2011-11-10,11441933.344448319
2011-11-11,11685589.264298558
2011-11-14,11548643.90883664
2011-11-15,11687967.255345087
2011-11-16,11543266.591161098
2011-11-17,11414628.732241832
2011-11-18,11423672.747807793
2011-11-21,11204154.653028136
2011-11-22,11111278.85385226
2011-11-23,10843783.615820331
2011-11-25,10721026.832056431
2011-11-28,11109211.851935754
2011-11-29,11050079.948542118
2011-11-30,11562555.101163073
2011-12-01,11477262.24822513
2011-12-02,11551279.899807565
2011-12-05,11747833.63248671
2011-12-06,11739507.914676243
2011-12-07,11750011.517584179
2011-12-08,11458515.337904377
2011-12-09,11777629.852882456
2011-12-12,11622675.30770867
