date,portfolio_value
2010-07-30,9936156.323479174
2010-08-02,10113778.716045398
2010-08-03,10010252.590242587
2010-08-04,10091784.536188437
2010-08-05,9992083.733909868
2010-08-06,9964421.301021745
2010-08-09,10047572.875293223
2010-08-10,9875245.712557802
2010-08-11,9530795.10820918
2010-08-12,9483014.847984029
2010-08-13,9417672.999747524
2010-08-16,9455850.859636413
2010-08-17,9605933.233740259
2010-08-18,9636533.417207435
2010-08-19,9411495.157299384
2010-08-20,9389044.114557132
2010-08-23,9304724.808629677
2010-08-24,9199929.683235798
2010-08-25,9315757.77743727
2010-08-26,9244355.631526306
2010-08-27,9469179.281758817
2010-08-30,9285828.068293136
2010-08-31,9252067.319533415
2010-09-01,9583680.116524328
2010-09-02,9699854.796849558
2010-09-03,9835139.604670806
2010-09-07,9622687.443885805
2010-09-08,9703475.15014501
2010-09-09,9706803.182264531
2010-09-10,9728348.381481215
2010-09-13,9985861.823078135
2010-09-14,9936648.437885802
2010-09-15,10005284.84693869
2010-09-16,9948196.902728837
2010-09-17,9986319.580275467
2010-09-20,10210226.334668528
2010-09-21,10136199.197204644
2010-09-22,10031143.438032107
2010-09-23,9961877.606983466
2010-09-24,10242261.7240269
2010-09-27,10219337.49095732
2010-09-28,10316912.782665664
2010-09-29,10334134.116548637
2010-09-30,10323160.712665923
2010-10-01,10342927.414202545
2010-10-04,10203108.201937051
2010-10-05,10436346.804122068
2010-10-06,10389601.675229963
2010-10-07,10357168.900485612
2010-10-08,10472601.028858174
2010-10-11,10493915.445551079
2010-10-12,10527825.195897926
2010-10-13,10653905.174351092
2010-10-14,10601578.893767826
2010-10-15,10576603.89702473
2010-10-18,10654740.375614068
2010-10-19,10451198.75893691
2010-10-20,10555451.760790765
2010-10-21,10499955.789244277
2010-10-22,10602146.007250708
2010-10-25,10634306.820552556
2010-10-26,10615703.4785791
2010-10-27,10600700.13028352
2010-10-28,10587882.407194918
2010-10-29,10606360.187961506
2010-11-01,10522481.550075386
2010-11-02,10729016.730676048
2010-11-03,10756887.076042455
2010-11-04,10968583.558829322
2010-11-05,11022604.893041885
2010-11-08,11020187.284335837
2010-11-09,10931166.955059582
2010-11-10,11046279.501804639
2010-11-11,11013867.048621982
2010-11-12,10856525.546570811
2010-11-15,10885410.768529229
2010-11-16,10703718.688483443
2010-11-17,10743374.061136274
2010-11-18,10881302.792326195
2010-11-19,10915113.499505255
2010-11-22,10931583.79647911
2010-11-23,10821460.681571003
2010-11-24,11031889.33776106
2010-11-26,10959687.915258013
2010-11-29,10986038.258765034
2010-11-30,10928923.958609428
2010-12-01,11103672.653525766
2010-12-02,11232160.452745313
2010-12-03,11305410.408862997
2010-12-06,11353835.76225895
2010-12-07,11395684.50049306
2010-12-08,11414925.756797021
2010-12-09,11461542.124629786
2010-12-10,11577493.84987044
2010-12-13,11526672.21679146
2010-12-14,11525452.345633611
2010-12-15,11480856.587468933
2010-12-16,11570299.354045289
2010-12-17,11613601.606446665
2010-12-20,11690708.688209798
2010-12-21,11819591.904889612
2010-12-22,11868722.277628172
2010-12-23,11838650.007163402
2010-12-27,11871272.933692671
2010-12-28,11829465.116649436
2010-12-29,11840882.382592253
2010-12-30,11857394.783370752
2010-12-31,11757950.494517028
2011-01-03,11955344.778736226
2011-01-04,11826006.21304711
2011-01-05,11941524.500706451
2011-01-06,11926591.84465277
2011-01-07,11873259.670620207
2011-01-10,11922542.253907926
2011-01-11,11960857.349601863
2011-01-12,12035564.507451605
2011-01-13,12035849.183446513
2011-01-14,12126641.029671824
2011-01-18,12125588.433770016
2011-01-19,11892945.997683473
2011-01-20,11799565.47898943
2011-01-21,11742713.593986701
2011-01-24,11848746.20962096
2011-01-25,11830058.537109127
2011-01-26,11959131.004433824
2011-01-27,12001941.24019991
2011-01-28,11748536.050411982
2011-01-31,11783644.443091108
2011-02-01,11966356.899361786
2011-02-02,11940177.001000218
2011-02-03,11944558.1869885
2011-02-04,11959135.19701246
2011-02-07,12048617.960309671
2011-02-08,12106738.91929787
2011-02-09,12050394.52565282
2011-02-10,12056953.389202971
2011-02-11,12166837.169972964
2011-02-14,12216464.062839476
2011-02-15,12147312.050558586
2011-02-16,12255969.464403765
2011-02-17,12318686.098474724
2011-02-18,12313774.236246271
2011-02-22,12057654.169661967
2011-02-23,11896470.628627034
2011-02-24,11926922.802377667
2011-02-25,12109768.246773338
2011-02-28,12114662.205676062
2011-03-01,11931269.155417623
2011-03-02,11952737.255286656
2011-03-03,12121702.622712137
2011-03-04,12059319.243714064
