date,portfolio_value
2010-07-30,9935463.745093284
2010-08-02,9905608.93330879
2010-08-03,9902618.49129305
2010-08-04,9946686.72191631
2010-08-05,9935825.921036612
2010-08-06,9877154.921798656
2010-08-09,9910716.556188196
2010-08-10,9905650.273497272
2010-08-11,9909641.05388718
2010-08-12,9897066.077264195
2010-08-13,9791687.098128624
2010-08-16,9798485.344555337
2010-08-17,9809661.594504874
2010-08-18,9814612.024043392
2010-08-19,9843006.603189949
2010-08-20,9851337.49423565
2010-08-23,9841906.089817412
2010-08-24,9825995.584975924
2010-08-25,9840697.522640435
2010-08-26,9834729.76760346
2010-08-27,9854004.251945296
2010-08-30,9850145.813851317
2010-08-31,9796711.905949313
2010-09-01,9769120.098352399
2010-09-02,9756129.635188552
2010-09-03,9764468.590371814
2010-09-07,9796127.278419517
2010-09-08,9777503.462976068
2010-09-09,9798127.422816608
2010-09-10,9797326.984398097
2010-09-13,9807293.349882945
2010-09-14,9856223.273346752
2010-09-15,9865463.296493389
2010-09-16,9896960.803518455
2010-09-17,9929807.163860274
2010-09-20,9915363.094254429
2010-09-21,9954090.618715286
2010-09-22,9972635.721390367
2010-09-23,10029260.088273171
2010-09-24,9990428.557571916
2010-09-27,9953855.593881503
2010-09-28,9972060.38973203
2010-09-29,9976705.183301892
2010-09-30,9938442.839012165
2010-10-01,9969074.206381096
2010-10-04,9937284.101698657
2010-10-05,9942875.514375784
2010-10-06,9899037.201624375
2010-10-07,9887423.018905398
2010-10-08,9904858.165338023
2010-10-11,9937057.649654895
2010-10-12,9937406.11909865
2010-10-13,9944007.493945442
2010-10-14,9966282.663645651
2010-10-15,10000984.676181782
2010-10-18,10004910.75686624
2010-10-19,9968124.911322527
2010-10-20,9985175.598923048
2010-10-21,10018661.075924544
2010-10-22,10057577.559467208
2010-10-25,10063474.11910163
2010-10-26,10090799.93803622
2010-10-27,10151993.032869209
2010-10-28,10176979.538552029
2010-10-29,10227191.800039463
2010-11-01,10212520.94783179
2010-11-02,10246319.074517943
2010-11-03,10242793.85703604
2010-11-04,10229902.395710144
2010-11-05,10182999.312074773
2010-11-08,10223696.141591351
2010-11-09,10272214.029585958
2010-11-10,10257631.085923541
2010-11-11,10220092.644382179
2010-11-12,10225602.791873131
2010-11-15,10222255.907107137
2010-11-16,10257679.100594297
2010-11-17,10262458.666810572
2010-11-18,10281867.684729826
2010-11-19,10300215.747772843
2010-11-22,10309048.862135481
2010-11-23,10326300.32241448
2010-11-24,10357523.601270117
2010-11-26,10361385.576909808
2010-11-29,10319862.048911788
2010-11-30,10319981.185992543
2010-12-01,10345543.46223867
2010-12-02,10351233.648804376
2010-12-03,10348525.697472783
2010-12-06,10379019.308051417
2010-12-07,10412794.515123036
2010-12-08,10429774.557285473
2010-12-09,10444215.485430218
2010-12-10,10439768.473257912
2010-12-13,10413194.792852763
2010-12-14,10443587.27029045
2010-12-15,10466320.94382291
2010-12-16,10484300.662412563
2010-12-17,10458472.101985484
2010-12-20,10439639.099056862
2010-12-21,10459375.947948888
2010-12-22,10433718.78691608
2010-12-23,10464990.887731712
2010-12-27,10442659.94568946
2010-12-28,10407513.116779782
2010-12-29,10393814.281406559
2010-12-30,10383608.725682948
2010-12-31,10358156.654139068
2011-01-03,10386497.682989178
2011-01-04,10373531.89729438
2011-01-05,10394568.44630081
2011-01-06,10368593.503073411
2011-01-07,10370546.859090524
2011-01-10,10343455.705740403
2011-01-11,10363593.684584342
2011-01-12,10385476.64260697
2011-01-13,10411051.821819097
2011-01-14,10429894.609232806
2011-01-18,10409156.94581081
2011-01-19,10388918.281194601
2011-01-20,10385641.29475154
2011-01-21,10368713.39486003
2011-01-24,10336835.915249059
2011-01-25,10322768.771375397
2011-01-26,10329243.850588527
2011-01-27,10349021.630177092
2011-01-28,10327006.33734718
2011-01-31,10281258.889854867
2011-02-01,10304493.340922069
2011-02-02,10335718.280426353
2011-02-03,10316500.64588727
2011-02-04,10367138.531993859
2011-02-07,10356822.357027292
2011-02-08,10332349.8241678
2011-02-09,10290207.422617842
2011-02-10,10302934.553836234
2011-02-11,10343526.626513314
2011-02-14,10374457.422590585
2011-02-15,10365478.193131365
2011-02-16,10362388.218839075
2011-02-17,10367580.877300445
2011-02-18,10386847.645419348
2011-02-22,10378226.268789938
2011-02-23,10353973.713112665
2011-02-24,10353087.289218165
2011-02-25,10348386.169999585
2011-02-28,10343246.437889475
2011-03-01,10326617.627953272
2011-03-02,10333550.233699638
2011-03-03,10362142.754814943
2011-03-04,10364105.378525302
2011-03-07,10315418.999959141
2011-03-08,10360696.23852747
2011-03-09,10386170.411921427
2011-03-10,10373614.84224379
2011-03-11,10344129.611021634
2011-03-14,10326994.688860482
2011-03-15,10328466.728715403
2011-03-16,10355149.48219524
2011-03-17,10341334.240156464
2011-03-18,10404443.437918
2011-03-21,10421788.333261408
2011-03-22,10437683.898327565
2011-03-23,10452736.609142423
2011-03-24,10470008.701293789
2011-03-25,10464492.808525363
2011-03-28,10459935.238599021
2011-03-29,10451568.495786803
2011-03-30,10475179.182762716
2011-03-31,10458650.63020204
2011-04-01,10454738.826321222
2011-04-04,10477547.055281274
2011-04-05,10488227.546274966
2011-04-06,10530878.948927015
2011-04-07,10507142.054531045
2011-04-08,10481891.77955252
2011-04-11,10521709.977532424
2011-04-12,10548957.666658908
2011-04-13,10555428.345616456
2011-04-14,10571716.031919278
2011-04-15,10566694.73731412
2011-04-18,10584856.214019954
2011-04-19,10600347.330071418
2011-04-20,10608759.52048021
2011-04-21,10638011.594807163
2011-04-25,10601694.185417783
2011-04-26,10600954.068046566
2011-04-27,10595091.265692413
2011-04-28,10568041.550679777
2011-04-29,10527978.025508787
2011-05-02,10512027.765153019
2011-05-03,10523431.703197641
2011-05-04,10592456.46588751
2011-05-05,10651278.138288079
2011-05-06,10625751.152136505
2011-05-09,10614467.774691917
2011-05-10,10670222.625595238
2011-05-11,10714767.80016402
2011-05-12,10713250.489975397
2011-05-13,10704124.839080028
2011-05-16,10682549.920494776
2011-05-17,10701417.580945589
2011-05-18,10735728.65425636
2011-05-19,10690542.223802952
2011-05-20,10726208.564148206
2011-05-23,10712774.256758988
2011-05-24,10670660.805843575
2011-05-25,10607596.906659495
2011-05-26,10605390.541815894
2011-05-27,10598258.14210033
2011-05-31,10541785.339393191
2011-06-01,10534749.184546493
2011-06-02,10556196.217416788
2011-06-03,10515310.79245079
2011-06-06,10531552.024807818
2011-06-07,10540710.001401186
2011-06-08,10526808.056406446
2011-06-09,10516471.79427629
2011-06-10,10475333.760324046
2011-06-13,10494439.987903042
2011-06-14,10506747.711247116
2011-06-15,10491956.895800745
2011-06-16,10509465.03886965
2011-06-17,10521868.096373653
2011-06-20,10549038.654025842
2011-06-21,10540826.86798771
2011-06-22,10503308.62370523
2011-06-23,10552915.830184866
2011-06-24,10520924.096479092
2011-06-27,10581401.697435057
2011-06-28,10601490.046316698
2011-06-29,10552858.166789073
2011-06-30,10567910.639610246
2011-07-01,10558039.637263948
2011-07-05,10544338.29784698
2011-07-06,10545411.647005955
2011-07-07,10578326.278106872
2011-07-08,10535293.01360688
2011-07-11,10554784.091284275
2011-07-12,10532482.264009751
2011-07-13,10569774.360425465
2011-07-14,10534041.901821213
2011-07-15,10472707.352321222
2011-07-18,10388581.864871979
2011-07-19,10424325.956412809
2011-07-20,10437051.390677659
2011-07-21,10446419.33836037
2011-07-22,10433680.511787271
2011-07-25,10439040.260091476
2011-07-26,10397995.356220268
2011-07-27,10365754.340881264
2011-07-28,10344564.014984297
2011-07-29,10200656.111353282
2011-08-01,10180893.654513905
2011-08-02,10181728.919274718
2011-08-03,10222195.659197502
2011-08-04,10245660.219299454
2011-08-05,10282145.69154264
2011-08-08,10315860.525986355
2011-08-09,10259673.865828734
2011-08-10,10196709.328660276
2011-08-11,10209468.223207995
2011-08-12,10230063.558359452
2011-08-15,10195098.16530849
2011-08-16,10200665.44400486
2011-08-17,10153358.499975337
2011-08-18,10143624.79643495
2011-08-19,10128673.748540811
2011-08-22,10204763.974208837
2011-08-23,10259673.956182398
2011-08-24,10258895.151061596
2011-08-25,10251029.261737406
2011-08-26,10243083.783319227
2011-08-29,10244881.963754404
2011-08-30,10241527.775435962
2011-08-31,10189971.30511126
2011-09-01,10215609.832154807
2011-09-02,10192616.476725955
2011-09-06,10203763.36116768
2011-09-07,10187745.188264735
2011-09-08,10182105.970874915
2011-09-09,10180608.991786059
2011-09-12,10251172.953911288
2011-09-13,10233257.774723947
2011-09-14,10269773.356722008
2011-09-15,10301144.003098313
2011-09-16,10291356.2296233
2011-09-19,10308614.814979175
2011-09-20,10292453.96190503
2011-09-21,10303078.902796876
2011-09-22,10361751.176799122
2011-09-23,10374220.299816813
2011-09-26,10415078.758992994
2011-09-27,10410721.731407527
2011-09-28,10411976.552635476
2011-09-29,10413756.782378893
2011-09-30,10379260.83511009
2011-10-03,10479405.358027417
2011-10-04,10507312.306211367
2011-10-05,10523713.974253746
2011-10-06,10513070.901390694
2011-10-07,10514071.64462128
2011-10-10,10465931.589144316
2011-10-11,10482487.495998504
2011-10-12,10483883.05086898
2011-10-13,10493474.325833218
2011-10-14,10472980.518052248
2011-10-17,10483639.149140906
2011-10-18,10474795.22395066
2011-10-19,10457394.205743538
2011-10-20,10396619.20037428
2011-10-21,10386725.999087453
2011-10-24,10386938.40080978
2011-10-25,10373819.068914372
2011-10-26,10367681.403565597
2011-10-27,10458950.73315689
2011-10-28,10427523.223956894
2011-10-31,10384397.667248096
2011-11-01,10331859.096962519
2011-11-02,10336123.955486882
2011-11-03,10436601.39506132
2011-11-04,10431062.71438855
2011-11-07,10431811.185965128
2011-11-08,10509288.639861178
2011-11-09,10489181.096156107
2011-11-10,10495376.989692496
