date,portfolio_value
2015-05-21,1000076.8917006754
2015-05-22,1000156.22591969
2015-05-26,1000230.5189508122
2015-05-27,1000328.7971124945
2015-05-28,1000420.7689013352
2015-05-29,1000493.8222683747
2015-06-01,1000592.119292234
2015-06-02,1000668.2097817676
2015-06-03,1000718.0544178308
2015-06-04,1000762.337291325
2015-06-05,1000859.1571642457
2015-06-08,1000989.0423144414
2015-06-09,1001024.270514743
2015-06-10,1001109.9863635864
2015-06-11,1001195.7151131426
2015-06-12,1001271.9812230945
2015-06-15,1001364.03521767
2015-06-16,1001452.9326140815
2015-06-17,1001538.686578103
2015-06-18,1001592.8902199825
2015-06-19,1001678.6568256592
2015-06-22,1001745.6235678421
2015-06-23,1001859.6712678194
2015-06-24,1001926.5188448193
2015-06-25,1002009.154310446
2015-06-26,1002082.3337398196
2015-06-29,1028231.3379155381
2015-06-30,984473.2782924493
2015-07-01,962157.9779943293
2015-07-02,968736.1052659708
2015-07-06,981836.7314569934
2015-07-07,953939.9020222173
2015-07-08,926938.7276414093
2015-07-09,922366.6846103137
2015-07-10,932680.9234749363
2015-07-13,943890.6710332854
2015-07-14,945829.6504741954
2015-07-15,925388.7440682391
2015-07-16,925421.9534607597
2015-07-17,796818.7643063897
2015-07-20,769870.1296828397
2015-07-21,785757.4669419781
2015-07-22,781152.7668153032
2015-07-23,773731.249466439
2015-07-24,768189.2559761704
2015-07-27,762654.8450876911
2015-07-28,756198.410606293
2015-07-29,773949.5261843929
2015-07-30,753498.556206966
2015-07-31,746991.7722553074
2015-08-03,736819.3377080183
2015-08-04,734998.3122098255
2015-08-05,735973.6829167538
2015-08-06,736977.4483095368
2015-08-07,737055.4047194242
2015-08-10,732425.3947755747
2015-08-11,731550.4097008544
2015-08-12,734386.9019202297
2015-08-13,735402.0496079477
2015-08-14,730772.0591399438
2015-08-17,734545.1056436821
2015-08-18,732735.4894761977
2015-08-19,739329.0323353314
2015-08-20,741217.5147870815
2015-08-21,741292.3658163096
2015-08-24,737619.7720433002
2015-08-25,736768.8053032882
2015-08-26,735892.6021392057
2015-08-27,737806.4825470898
2015-08-28,749962.4050207376
2015-08-31,759350.9796133479
2015-09-01,749162.9818237763
2015-09-02,746425.70501778
2015-09-03,749284.3524213876
2015-09-04,749354.1937593225
2015-09-08,744729.3217904092
2015-09-09,742921.0324996586
2015-09-10,742970.6972248224
2015-09-11,741149.7915403985
2015-09-14,744009.727653642
2015-09-15,741286.9993347133
2015-09-16,744139.3731075844
2015-09-17,741392.668274757
2015-09-18,739597.0353614042
2015-09-21,739657.5773634987
2015-09-22,736912.6618718536
2015-09-23,738820.3030291395
2015-09-24,738876.3182632995
2015-09-25,736135.9562103349
2015-09-28,736189.4565940253
2015-09-29,736273.2528965558
2015-09-30,737248.7932915766
2015-10-01,735421.643762097
2015-10-02,735477.6856754711
2015-10-05,737380.3149207836
2015-10-06,742106.4720827225
2015-10-07,743085.1879258007
2015-10-08,742220.4781961992
2015-10-09,742289.0358511121
2015-10-12,739539.3855595789
2015-10-13,739579.6836004322
2015-10-14,739630.7070232527
2015-10-15,739703.4535764945
2015-10-16,741612.1851148537
2015-10-19,737013.944634788
2015-10-20,737051.1085952821
2015-10-21,736175.0787979962
2015-10-22,734377.0223348133
2015-10-23,733506.6849608638
2015-10-26,733547.0230666167
2015-10-27,732671.0128171225
2015-10-28,727134.3679064019
2015-10-29,728122.6222108132
2015-10-30,728185.0657854939
2015-11-02,729172.0638446962
2015-11-03,728296.0758676153
2015-11-04,731119.70253162
2015-11-05,731187.0862319531
2015-11-06,733132.7390797863
2015-11-09,732250.4562567928
2015-11-10,730448.6754081723
2015-11-11,727708.488574975
2015-11-12,727764.6896708293
2015-11-13,731549.4065190897
2015-11-16,728809.2330671056
2015-11-17,728865.4475452353
2015-11-18,726125.2830158303
2015-11-19,726181.5064172471
2015-11-20,726237.7342808386
2015-11-23,726293.966606959
2015-11-24,725418.0755729619
2015-11-25,727338.5724712034
2015-11-27,727394.8181870354
2015-11-30,726518.9405438127
2015-12-01,726575.1951878904
2015-12-02,726631.4542966224
2015-12-03,726687.717870363
2015-12-04,725811.8580864662
2015-12-07,725868.1305912873
2015-12-08,725924.4075621801
2015-12-09,724116.4350897215
2015-12-10,725104.8488168217
2015-12-11,724229.0113650564
2015-12-14,724285.3062037813
2015-12-15,723409.4768192385
2015-12-16,722379.3061066465
2015-12-17,722436.6377976073
2015-12-18,722493.9740387024
2015-12-21,722551.3148302928
2015-12-22,722608.6601727396
2015-12-23,722666.0100664041
2015-12-24,722723.3645116475
2015-12-28,722780.723508831
2015-12-29,722838.0870583159
2015-12-30,722895.4551604633
2015-12-31,722952.8278156348
2016-01-04,723010.2050241915
2016-01-05,723067.586786495
2016-01-06,723124.9731029067
2016-01-07,723182.3639737879
2016-01-08,723239.7593995001
2016-01-11,723297.1593804049
2016-01-12,722999.8536862448
2016-01-13,723808.0092852766
2016-01-14,724739.2339656538
2016-01-15,724089.8437280053
2016-01-19,723970.1003525212
2016-01-20,723457.2841572072
2016-01-21,724112.8013387761
2016-01-22,724671.2212914224
2016-01-25,724545.7844119619
2016-01-26,724730.3486657885
2016-01-27,724479.2601340372
2016-01-28,724541.8081399836
2016-01-29,724936.684712824
2016-02-01,724056.7894857228
2016-02-02,723695.1174269046
2016-02-03,723734.3167398196
2016-02-04,724236.6981079717
2016-02-05,723898.4063241004
2016-02-08,723727.3197679853
2016-02-09,723902.0628522708
2016-02-10,723860.7995042283
2016-02-11,723890.6795718772
2016-02-12,724689.0642300274
2016-02-16,726196.2395128158
2016-02-17,726401.6414766051
2016-02-18,725404.9679575901
2016-02-19,725475.3719566284
2016-02-22,725503.7210856745
2016-02-23,725719.0067806706
2016-02-24,724348.4859901106
2016-02-25,724291.6899727015
2016-02-26,724592.1479164566
2016-02-29,724916.4958408466
2016-03-01,725225.2710770076
2016-03-02,725057.8915611943
2016-03-03,725588.3983202454
2016-03-04,727990.8317619972
2016-03-07,727399.2328251477
2016-03-08,726371.4623883711
2016-03-09,726707.2656458914
2016-03-10,726594.4356389749
2016-03-11,726704.3713252065
2016-03-14,726744.7306614397
2016-03-15,726377.4780526924
2016-03-16,726369.5555453066
2016-03-17,726233.3814095482
2016-03-18,727003.8349291917
2016-03-21,727142.3566841596
2016-03-22,727039.9478673827
2016-03-23,726706.4735275226
2016-03-24,726937.4371210828
2016-03-28,726851.6577708265
2016-03-29,727099.2463075792
2016-03-30,727389.9374427313
2016-03-31,727654.6708865009
2016-04-01,727646.7981475772
2016-04-04,727301.4130642549
2016-04-05,727384.4196151095
2016-04-06,727505.3365703159
2016-04-07,727520.8486780951
2016-04-08,728374.4462615424
2016-04-11,730179.3276088509
2016-04-12,729818.392485902
2016-04-13,729893.6372930517
2016-04-14,730611.2073093285
2016-04-15,731005.804742211
2016-04-18,730959.0378703753
2016-04-19,731317.2965170076
2016-04-20,730452.7084368847
2016-04-21,730447.4952004309
2016-04-22,731084.6084132672
2016-04-25,730635.9592699516
2016-04-26,731341.6224938084
2016-04-27,731336.9473482704
2016-04-28,731175.9797560102
2016-04-29,731085.117531061
2016-05-02,731178.5951723752
2016-05-03,729940.7018928019
2016-05-04,729468.1984015333
