date,portfolio_value
2013-12-31,9982273.923178295
2014-01-02,11574978.228369765
2014-01-03,10667168.863507701
2014-01-06,10667989.07832026
2014-01-07,10215596.1758826
2014-01-08,11714944.157262444
2014-01-09,10895966.793839138
2014-01-10,10896805.804495983
2014-01-13,10669899.714050716
2014-01-14,10898465.306851398
2014-01-15,10899304.515802924
2014-01-16,11697252.557008374
2014-01-17,10901048.649126701
2014-01-21,10901888.063105393
2014-01-22,10902727.543704242
2014-01-23,11472930.688888315
2014-01-24,11701562.267309379
2014-01-27,11588594.883273114
2014-01-28,10678509.446064064
2014-01-29,11362566.736291463
2014-01-30,11727836.741665963
2014-01-31,11751518.33639856
2014-02-03,10932544.618792724
2014-02-04,11798818.777034456
2014-02-05,11594761.03068569
2014-02-06,11595657.432348587
2014-02-07,11596553.905154474
2014-02-10,10688746.252647711
2014-02-11,11370527.208722496
2014-02-12,11371405.170335626
2014-02-13,11600028.369318508
2014-02-14,11152266.991479421
2014-02-18,11374040.036303697
2014-02-19,11374918.276712665
2014-02-20,11398570.832098624
2014-02-21,11604422.00618174
2014-02-24,11400348.252173835
2014-02-25,11150709.23194152
2014-02-26,12178700.190342963
2014-02-27,12498488.058368571
2014-02-28,12417470.332359068
2014-03-03,12409325.022730002
2014-03-04,12521883.083847435
2014-03-05,11616429.276793074
2014-03-06,11626437.38063637
2014-03-07,12419890.115767
2014-03-10,13778216.676623613
2014-03-11,13437674.73217706
2014-03-12,12755486.364750497
2014-03-13,12756478.106048934
2014-03-14,12759747.079090882
2014-03-17,12758462.011943672
2014-03-18,12531708.14298019
2014-03-19,13202253.386519033
2014-03-20,12763732.927650273
2014-03-21,13220216.343988782
2014-03-24,13218968.430718487
2014-03-25,13219998.243737256
2014-03-26,13221028.138487214
2014-03-27,13859745.127494879
2014-03-28,13610308.18524408
2014-03-31,13609092.319522774
2014-04-01,13453010.261272006
2014-04-02,13228591.27809946
2014-04-03,13885528.134267995
2014-04-04,13882058.403119834
2014-04-07,13454980.905753966
2014-04-08,13913798.254348462
2014-04-09,13914885.14373731
2014-04-10,13918249.951155245
2014-04-11,14258677.798793092
2014-04-14,14902035.022470243
2014-04-15,15285815.399585199
2014-04-16,14034415.601118982
2014-04-17,13921639.122593125
2014-04-21,13922726.634273106
2014-04-22,13012832.882768374
2014-04-23,12558354.677993676
2014-04-24,13242566.31200845
2014-04-25,12104871.480689518
2014-04-28,13791125.524609892
2014-04-29,13840028.614158526
2014-04-30,13907155.659291975
2014-05-01,13475525.867014896
2014-05-02,13476576.685451563
2014-05-05,13477627.58728652
2014-05-06,13478678.572526384
2014-05-07,13479729.641177777
2014-05-08,13480780.793247316
2014-05-09,13481832.02874162
2014-05-12,13482883.347667314
2014-05-13,13483934.750031017
2014-05-14,13090986.498449167
2014-05-15,13486005.421650417
2014-05-16,12917693.473837987
2014-05-19,12918698.410573855
2014-05-20,12919703.427066606
2014-05-21,12920708.523322571
2014-05-22,13491077.297307864
2014-05-23,13492129.349985033
2014-05-27,13903122.652254079
2014-05-28,12924903.801574182
2014-05-29,13631919.737638563
2014-05-30,13496336.525394734
2014-06-02,13497388.995470956
2014-06-03,13498441.54907655
2014-06-04,12930130.58825836
2014-06-05,13045009.095911931
2014-06-06,13273769.626609853
2014-06-09,13502549.635354277
