date,ticker,side
2010-12-07,AFOP,long
2011-12-06,RLH,long
2012-01-27,ATMS,long
2012-03-12,ABK,long
2012-03-16,ARST,long
2012-03-26,AOBC,long
2012-03-26,SWHC,long
2012-05-01,LEAF,long
2012-05-03,AOI,long
2012-06-29,ELLI,long
2012-10-12,CBM,long
2013-01-31,KATY,long
2013-01-31,KATYQ,long
2013-02-27,ABK,long
2013-03-04,ABK,long
2013-03-08,CIVI,long
2013-03-11,PGTI,long
2013-03-18,HGSH,long
2013-04-25,LLFLQ,long
2013-04-25,LL,long
2013-04-29,ABK,long
2013-05-10,AAMC,long
2013-05-29,OWW,long
2013-06-07,CONN,short
2013-07-16,CRRS,long
2013-07-16,CRRSQ,long
2013-08-14,OSIR,long
2013-08-14,APFC,long
2013-08-19,BETS_old,long
2013-08-26,AFOP,long
2013-09-09,INSY,long
2013-09-20,ECIGQ,long
2013-09-27,STML,long
2013-10-02,IQNT,long
2013-10-15,PETX,long
2013-10-17,ZLC,long
2013-11-07,AVTA,long
2013-11-11,ACETQ,long
2013-11-14,FRGI,short
2013-11-27,VPCO,long
2013-11-29,RAVN,long
2013-12-12,NRF,short
2013-12-17,LCI,short
2013-12-17,CBB,long
2013-12-19,WMIH,long
2013-12-19,TESS,long
2013-12-19,COOP,long
2013-12-23,TRAK_old,long
2014-01-08,CCF,long
2014-01-13,CYTR,short
2014-01-30,RGRXD,long
2014-02-03,QUESD,long
2014-02-10,SPA,long
2014-02-10,INLBD,long
2014-02-13,SNMX,long
2014-02-14,FLUXD,long
2014-02-19,GTATQ,short
2014-02-26,ITMN,short
2014-02-27,DYAX,long
2014-03-03,ARII,long
2014-03-06,PFPT,long
2014-03-06,HILL,long
2014-03-18,VYSTD,long
2014-04-28,EQUR,long
2014-05-08,NLS,long
2014-05-08,BFX,long
2014-05-08,BFXXQ,long
2014-06-10,IDIX,short
2014-06-10,CXDC,long
2014-06-17,AXDX,short
2014-06-17,AXDXQ,short
2014-07-29,DIGP,long
2014-08-12,PTSI,long
2014-09-05,WIZDD,long
2014-09-05,WIZD,long
2014-09-18,NP_old,long
2014-10-31,NTUS,long
2014-11-05,PLKI,long
2014-12-10,BLUE,long
2014-12-26,CTCT,long
2015-01-08,SONC,long
2015-01-29,ABMD,long
2015-02-12,SMRT_old,long
2015-03-18,ESPR,short
2015-04-01,CBM,long
2015-04-06,FRP,long
2015-04-22,AST,short
2015-05-20,DHIL,long
2015-06-02,PFNX,long
2015-06-02,FOE,long
2015-06-19,RDUS_old,short
2015-07-27,AMWD,long
2015-07-29,HSHS,long
2015-07-31,VG_old,long
2015-08-05,WAYSD,long
2015-09-18,ITCI,short
2015-09-30,MDTR,long
2015-10-02,MSG,long
2015-11-09,ZSPH,long
2015-11-10,MJMI,long
2015-12-03,CORRQ,short
2016-01-26,SMPRD,long
2016-02-05,OCLR,long
2016-02-26,CRAY,long
2016-03-07,JBT,long
2016-04-20,EBIXQ,long
2016-04-20,EBIX,long
2016-05-09,XCO,short
2016-06-01,SCLN,long
2016-09-06,JMDA,long
2016-09-06,REN,long
2016-10-10,CLSD,long
2016-10-13,VYSTD,long
2016-10-13,AIOM,long
2016-10-19,CNBXD,long
2016-10-20,ANCX,long
2016-11-04,AVXS,long
2016-11-14,ATSG,long
2016-11-14,PJC,long
2016-11-15,FFNW,long
2016-11-21,BTCSD,short
2016-12-16,MPX,long
2017-01-24,MDTR,long
