,portfolio_value
2011-04-06,1.00210703349358
2011-04-07,0.9971359705716025
2011-04-08,0.9902498451019626
2011-04-11,0.9928123490144316
2011-04-12,0.9919791916203858
2011-04-13,0.9912084290272679
2011-04-14,0.9874999998816534
2011-04-15,0.9920907326428221
2011-04-18,0.989545077893704
2011-04-19,0.9924566879289259
2011-04-20,1.0012805156406503
2011-04-21,1.0079526007525124
2011-04-25,1.004449034287988
2011-04-26,1.0111781417560017
2011-04-27,1.0111973012786655
2011-04-28,1.014311956700572
2011-04-29,1.0139623122638017
2011-05-02,1.0123880468385023
2011-05-03,1.0071787306500257
2011-05-04,1.0082940761991341
2011-05-05,1.0064640237926807
2011-05-06,1.0017050757042607
2011-05-09,1.0068864050318271
2011-05-10,1.0099311951691563
2011-05-11,1.002460663066792
2011-05-12,0.999007577226149
2011-05-13,0.9902526857939984
2011-05-16,0.9863769804428483
2011-05-17,0.9833315370336606
2011-05-18,0.9916216540336587
2011-05-19,0.9939034441363469
2011-05-20,1.0001830472766782
2011-05-23,0.9903013301245661
2011-05-24,0.9867429195342621
2011-05-25,0.9850610566909255
2011-05-26,0.9899375045543085
2011-05-27,0.989139800401602
2011-05-31,0.988835036425791
2011-06-01,0.9827194326001119
2011-06-02,0.9621426725496951
2011-06-03,0.9565281625491806
2011-06-06,0.9559852202472454
2011-06-07,0.9576201979147824
2011-06-08,0.9606598227860822
2011-06-09,0.9614532307422458
2011-06-10,0.9582300279115835
2011-06-13,0.9589812807614808
2011-06-14,0.9658120587445539
2011-06-15,0.960169379626292
2011-06-16,0.9586701198947679
2011-06-17,0.9582650745927161
2011-06-20,0.9592851704883087
2011-06-21,0.9650550598159948
2011-06-22,0.9667585606173811
2011-06-23,0.9607938919155734
2011-06-24,0.9547560948906557
2011-06-27,0.9581625546037724
2011-06-28,0.9599189298086631
2011-06-29,0.967056324226688
2011-06-30,0.97226919373488
2011-07-01,0.9870541144390336
2011-07-05,0.995553333643135
2011-07-06,0.9984722582082792
2011-07-07,0.9997297949055584
2011-07-08,1.000854230480155
2011-07-11,0.9943698158668653
2011-07-12,0.986956168730868
2011-07-13,0.9903784834417206
2011-07-14,0.9853040720215667
2011-07-15,0.9776773516175995
2011-07-18,0.9717026347714633
2011-07-19,0.980665050162294
2011-07-20,0.9863161434685945
2011-07-21,0.989595308749289
2011-07-22,0.9955076761217528
2011-07-25,0.9914235134407536
2011-07-26,0.9760781295022455
2011-07-27,0.9630330123985541
2011-07-28,0.9483677506432763
2011-07-29,0.9404945447505075
2011-08-01,0.9373737684943125
2011-08-02,0.932679049982912
2011-08-03,0.9289687845455911
2011-08-04,0.9304326906978022
2011-08-05,0.923492218906358
2011-08-08,0.9237451733087052
2011-08-09,0.9193409889720829
2011-08-10,0.9339408421902651
2011-08-11,0.9189849528507599
2011-08-12,0.9318297411955495
2011-08-15,0.9248859724492251
2011-08-16,0.9154327304414658
2011-08-17,0.9113646269190254
2011-08-18,0.9150155163484849
2011-08-19,0.9133206226627147
2011-08-22,0.9128539742897513
