,portfolio_value
2018-12-31,1.0
2019-01-01,1.0
2019-01-02,1.0
2019-01-03,1.0
2019-01-04,1.0
2019-01-05,1.0
2019-01-06,0.8345656316051521
2019-01-07,0.8454179235399601
2019-01-08,0.8214689383338346
2019-01-09,0.8375024057473746
2019-01-10,0.845071895031987
2019-01-11,0.8581825141140199
2019-01-12,0.8542830623500011
2019-01-13,0.756777763857943
2019-01-14,0.7592031359281485
2019-01-15,0.7476687544839267
2019-01-16,0.7468346309351148
2019-01-17,0.7646577207943336
2019-01-18,0.7547403181933775
2019-01-19,0.7527135751883224
2019-01-20,0.6507982901998721
2019-01-21,0.6529128919829742
2019-01-22,0.6637040025732351
2019-01-23,0.6670137822713467
2019-01-24,0.6781572049208906
2019-01-25,0.6848890556254545
2019-01-26,0.6946327469246655
2019-01-27,0.6413992240590698
2019-01-28,0.642408928566958
2019-01-29,0.6298119216474752
2019-01-30,0.6287498784510152
2019-01-31,0.6226070462831009
2019-02-01,0.6224686809970627
2019-02-02,0.6210810887721887
2019-02-03,0.5784746793406458
2019-02-04,0.582376418573363
2019-02-05,0.5741013436705561
2019-02-06,0.566441830666267
2019-02-07,0.5627052294540904
2019-02-08,0.6092423074704758
2019-02-09,0.6138039122562926
2019-02-10,0.5248169367075979
2019-02-11,0.5374140185163565
2019-02-12,0.5321964988929793
2019-02-13,0.5409996650286272
2019-02-14,0.5425082792665791
2019-02-15,0.543235093329153
2019-02-16,0.5319814513841592
2019-02-17,0.480718193390378
2019-02-18,0.48314581753444463
2019-02-19,0.4849798478908494
2019-02-20,0.4981514952787896
2019-02-21,0.4926561314453626
2019-02-22,0.4835009995100055
2019-02-23,0.48073332809689767
2019-02-24,0.33334444118464773
2019-02-25,0.3334157290221381
2019-02-26,0.336650655640204
2019-02-27,0.3338386322323524
2019-02-28,0.3334591984792303
2019-03-01,0.3318948951754782
2019-03-02,0.3278617708705142
2019-03-03,0.305469085595045
2019-03-04,0.3055434806818051
2019-03-05,0.32807996687856433
2019-03-06,0.33783732284966345
2019-03-07,0.34062589072010513
2019-03-08,0.3337704374028896
2019-03-09,0.3358435871929813
2019-03-10,0.30089950424188333
2019-03-11,0.29357745006324426
2019-03-12,0.3028965741616462
2019-03-13,0.29062131408179726
2019-03-14,0.2943475289108446
2019-03-15,0.2996007323695263
2019-03-16,0.30511631434823927
2019-03-17,0.2849344041466111
2019-03-18,0.2770741774375362
2019-03-19,0.28506295552973815
2019-03-20,0.2884905789785429
2019-03-21,0.28745459465493384
2019-03-22,0.2866241166790759
2019-03-23,0.28625650743360787
2019-03-24,0.2694210669676735
2019-03-25,0.2707854050768462
2019-03-26,0.27342060390291956
2019-03-27,0.2716707028153756
2019-03-28,0.2683365605801251
2019-03-29,0.2670030942930035
2019-03-30,0.26284488843987563
2019-03-31,0.23715702175624814
2019-04-01,0.22320417124908015
2019-04-02,0.24081363485141022
