,portfolio_value
2025-01-01,1.0
2025-01-02,1.0
2025-01-03,1.0
2025-01-04,1.0
2025-01-05,0.908675772365022
2025-01-06,0.9222033878783709
2025-01-07,0.9269943281427
2025-01-08,0.9310457705382758
2025-01-09,0.9111441246678679
2025-01-10,0.9263870440800198
2025-01-11,0.9432516139179784
2025-01-12,0.8670302779604765
2025-01-13,0.8620998598637551
2025-01-14,0.8665215991842262
2025-01-15,0.9036443588489241
2025-01-16,0.9065348640011541
2025-01-17,0.9063646819828641
2025-01-18,0.889699074623492
2025-01-19,0.7177546458833495
2025-01-20,0.7284065822946012
2025-01-21,0.7096937511257375
2025-01-22,0.7121046980946647
2025-01-23,0.7050853544479023
2025-01-24,0.7050531591898671
2025-01-25,0.7074912244444528
2025-01-26,0.6483768996238777
2025-01-27,0.6645628399151885
2025-01-28,0.6714577117522439
2025-01-29,0.6653765230617155
2025-01-30,0.6705901219418733
2025-01-31,0.6473717823536163
2025-02-01,0.649470649974938
2025-02-02,0.43932563032878064
2025-02-03,0.44607089365859837
2025-02-04,0.4402739675656791
2025-02-05,0.4323034590121653
2025-02-06,0.420178188514169
2025-02-07,0.42669087002066525
2025-02-08,0.43529940240376286
2025-02-09,0.37493998117524935
2025-02-10,0.37368381963905967
2025-02-11,0.3783322733389191
2025-02-12,0.38276868711095013
2025-02-13,0.3836188654094301
2025-02-14,0.3903541099861655
2025-02-15,0.38808524962522317
2025-02-16,0.34752697039655306
2025-02-17,0.33977027105033214
2025-02-18,0.34690930907555617
2025-02-19,0.34991924839653726
2025-02-20,0.3430379528531064
2025-02-21,0.3494956126427802
2025-02-22,0.34643681342817345
2025-02-23,0.317515692955057
2025-02-24,0.31031156430205603
2025-02-25,0.3162366013839439
2025-02-26,0.31343516683669254
2025-02-27,0.3169491800906785
2025-02-28,0.31124171017633034
2025-03-01,0.31050815551496797
2025-03-02,0.18188996008692188
2025-03-03,0.19420522094074
2025-03-04,0.18492873702022392
2025-03-05,0.18681681862266328
2025-03-06,0.18856256549911124
2025-03-07,0.19662099712630157
2025-03-08,0.19611144342431153
2025-03-09,0.1671889745947891
2025-03-10,0.16396658958338897
2025-03-11,0.1621262966441077
2025-03-12,0.16371568430311864
2025-03-13,0.16123703475305404
2025-03-14,0.15749137238124236
2025-03-15,0.15661135957001637
2025-03-16,0.1346437996029913
2025-03-17,0.13789510748141948
2025-03-18,0.14005017185454205
2025-03-19,0.14120164058198179
2025-03-20,0.14027167247937217
2025-03-21,0.142259905187826
2025-03-22,0.14165076612277297
2025-03-23,0.12955139121432133
2025-03-24,0.12794356523128167
2025-03-25,0.12875473962860623
2025-03-26,0.13128172259075852
2025-03-27,0.13075316423979563
2025-03-28,0.1309501443475435
2025-03-29,0.13066840170426366
2025-03-30,0.11584582758856195
2025-03-31,0.11513541106370034
2025-04-01,0.11513890859733676
