date,n_universe,n_scored,n_long,n_short,gross_long,gross_short,friction_cost
2018-12-31,8,8,2,2,1.0,0.6453540268450656,0.05255719729117735
2019-01-31,8,8,2,2,1.0,0.6490427692439267,0.05391707869521127
2019-02-28,8,8,2,2,1.0,1.0,0.036241995328108574
2019-03-31,8,8,2,2,0.6471148851219443,1.0,0.058237671274603386
2019-04-30,8,8,2,2,1.0,1.0,0.06848568291228951
2019-05-31,8,8,2,2,1.0,1.0,0.07223323740759804
2019-06-30,8,8,2,2,1.0,0.9467895211800801,0.16500376008755316
2019-07-31,8,8,2,2,0.9204979168878455,1.0,0.07667134445276189
2019-08-31,8,8,2,2,0.7628487502182064,1.0,0.03723046164170897
2019-09-30,12,12,4,4,0.757373701669444,1.0,0.11807463147223611
2019-10-31,12,12,4,4,0.857562479780794,1.0,0.061276279785053955
2019-11-30,12,12,4,4,1.0,0.893485202382805,0.09546858604422273
2019-12-31,14,14,4,4,1.0,0.8137056824110132,0.07017808426690704
2020-01-31,14,14,4,4,1.0,0.9315309544337698,0.14995505245610113
2020-02-29,14,14,4,4,1.0,1.0,0.10148576539667784
2020-03-31,15,15,5,5,1.0,1.0,0.08463916644318456
2020-04-30,15,15,5,5,0.8583822902614593,1.0,0.15049390023537015
2020-05-31,15,15,5,5,0.8684515868980476,1.0,0.0679542758940244
2020-06-30,15,15,5,5,1.0,1.0,0.0895606985725228
2020-07-31,15,15,5,5,1.0,0.9730434282255991,0.046559326995739066
2020-08-31,15,15,5,5,0.955529425110901,1.0,0.04752049955050008
2020-09-30,15,15,5,5,1.0,1.0,0.08985795725241606
2020-10-31,15,15,5,5,0.9701033039720535,1.0,0.04895328159382966
2020-11-30,15,15,5,5,1.0,1.0,0.11023743665969929
2020-12-31,15,15,5,5,1.0,1.0,0.0741766030447969
2021-01-31,15,15,5,5,1.0,1.0,0.14422644441426652
2021-02-28,15,15,5,5,1.0,1.0,0.15997332575740766
2021-03-31,18,18,6,6,1.0,1.0,0.12963742376203238
2021-04-30,18,18,6,6,1.0,1.0,0.15135107924392957
2021-05-31,18,18,6,6,1.0,1.0,0.17109524837254134
2021-06-30,19,19,6,6,1.0,1.0,0.17202752451086423
2021-07-31,19,19,6,6,1.0,1.0,0.07018795276554861
2021-08-31,19,19,6,6,1.0,1.0,0.12484218040367757
2021-09-30,19,19,6,6,1.0,1.0,0.0949325602358506
2021-10-31,19,19,6,6,1.0,1.0,0.2071044360047394
2021-11-30,19,19,6,6,1.0,1.0,0.055611720159951195
2021-12-31,19,19,6,6,1.0,1.0,0.13687729622058584
2022-01-31,19,19,6,6,1.0,1.0,0.08329481975688359
2022-02-28,19,19,6,6,1.0,1.0,0.18891199371429584
2022-03-31,19,19,6,6,1.0,1.0,0.0773954530973205
2022-04-30,19,19,6,6,1.0,1.0,0.2118772223413972
2022-05-31,19,19,6,6,1.0,1.0,0.09329762584091113
2022-06-30,20,20,6,6,1.0,1.0,0.12163415568632784
2022-07-31,20,20,6,6,1.0,1.0,0.11790729722083809
2022-08-31,20,20,6,6,1.0,1.0,0.05699954372435445
2022-09-30,23,23,7,7,1.0,1.0,0.07027348159217735
2022-10-31,23,23,7,7,1.0,1.0,0.0761950757284477
2022-11-30,23,23,7,7,1.0,1.0,0.10735084389560802
2022-12-31,25,25,8,8,1.0,1.0,0.04146008056730479
2023-01-31,25,25,8,8,1.0,1.0,0.051354124377832384
2023-02-28,25,25,8,8,1.0,1.0,0.06351561909106067
2023-03-31,25,25,8,8,0.9406431187230396,1.0,0.058376329003816015
2023-04-30,25,25,8,8,1.0,0.9413410059292661,0.051124626754726954
2023-05-31,25,25,8,8,1.0,0.9331302465480766,0.05935646174926146
2023-06-30,25,25,8,8,1.0,1.0,0.11553390998751592
2023-07-31,25,25,8,8,1.0,1.0,0.078063053759772
2023-08-31,25,25,8,8,0.9219377420144377,1.0,0.08167679762227638
2023-09-30,25,25,8,8,1.0,1.0,0.025396717661989324
2023-10-31,25,25,8,8,1.0,0.9842342068300287,0.0895890064879091
2023-11-30,25,25,8,8,1.0,0.9816496200398483,0.037442634113342844
2023-12-31,26,26,8,8,1.0,1.0,0.05870619494116805
2024-01-31,26,26,8,8,1.0,1.0,0.10781607139377578
2024-02-29,26,26,8,8,1.0,1.0,0.10221734420534545
2024-03-31,26,26,8,8,1.0,1.0,0.06084142337029983
2024-04-30,26,26,8,8,1.0,1.0,0.16143353018830048
2024-05-31,26,26,8,8,1.0,1.0,0.046394846867870015
2024-06-30,26,26,8,8,1.0,1.0,0.041684538545382586
2024-07-31,26,26,8,8,0.9451751277632046,1.0,0.09678660769039282
2024-08-31,26,26,8,8,0.9260727029077112,0.9475131526034096,0.04230841160657884
2024-09-30,25,25,8,8,0.9790425983831168,1.0,0.06006875066610793
2024-10-31,25,25,8,8,1.0,0.9795481138371922,0.09333430065748817
2024-11-30,25,25,8,8,1.0,1.0,0.14783550013425328
2024-12-31,26,26,8,8,1.0,1.0,0.11944017366993365
