date,portfolio_value
2010-01-04,5706555.5
2010-01-05,5745965.5
2010-01-06,5764951.0
2010-01-07,5778608.5
2010-01-08,5801281.0
2010-01-11,5826998.131870546
2010-01-12,5816110.136198556
2010-01-13,5798613.170769386
2010-01-14,5823172.743602674
2010-01-15,5841511.044777292
2010-01-19,5807520.835357483
2010-01-20,5839197.07486286
2010-01-21,5810711.253932024
2010-01-22,5785619.911324856
2010-01-25,5699244.563701746
2010-01-26,5709623.684687935
2010-01-27,5691405.859513017
2010-01-28,5720863.033993567
2010-01-29,5700211.809858957
2010-02-01,5657374.871606089
2010-02-02,5688180.8000281295
2010-02-03,5729978.333435185
2010-02-04,5713880.305404622
2010-02-05,5640780.049884883
2010-02-08,5648149.765616302
2010-02-09,5621734.219465383
2010-02-10,5661034.895678493
2010-02-11,5667221.865819689
2010-02-12,5716207.287885263
2010-02-16,5708206.200851566
2010-02-17,5755691.608991492
2010-02-18,5759042.551983097
2010-02-19,5787502.027419451
2010-02-22,5806763.406976132
2010-02-23,5824412.914462184
2010-02-24,5780214.834281515
2010-02-25,5809400.835361737
2010-02-26,5809779.762177656
2010-03-01,5827436.137039098
2010-03-02,5878139.535400269
2010-03-03,5878358.680685662
2010-03-04,5892530.821453267
2010-03-05,5912469.872065537
2010-03-08,5975287.114405142
2010-03-09,5970309.1499913195
2010-03-10,5988280.150854025
2010-03-11,6010770.633296639
2010-03-12,6025460.674679661
2010-03-15,6019677.761639463
2010-03-16,6014930.309754804
2010-03-17,6032520.829671711
2010-03-18,6058423.808508608
2010-03-19,6044802.780279568
2010-03-22,6040888.879796796
2010-03-23,6073409.499122977
2010-03-24,6107343.744253031
2010-03-25,6078070.039527182
2010-03-26,6077366.085613877
2010-03-29,6069394.031009507
2010-03-30,6078029.523708854
2010-03-31,6084825.863214557
2010-04-01,6081345.591884882
2010-04-05,6129449.520849186
2010-04-06,6177437.272734314
2010-04-07,6197357.338240898
2010-04-08,6186958.997173753
2010-04-09,6198215.348901705
2010-04-12,6236272.957256624
2010-04-13,6241687.870246595
2010-04-14,6264102.238368503
2010-04-15,6310897.456013686
2010-04-16,6326443.429234375
2010-04-19,6265172.4482936645
2010-04-20,6303229.929069857
2010-04-21,6384121.859836811
2010-04-22,6391285.750499995
2010-04-23,6408744.3318467615
2010-04-26,6465391.440098118
2010-04-27,6453131.742616805
2010-04-28,6359301.261244376
2010-04-29,6395122.035656676
2010-04-30,6436592.445051043
2010-05-03,6379628.30488983
2010-05-04,6415901.703131734
2010-05-05,6307275.99213222
2010-05-06,6283062.452136086
2010-05-07,6146877.410032574
2010-05-10,6086616.376685013
2010-05-11,6261173.9229478575
2010-05-12,6288722.430366889
2010-05-13,6364262.294537774
2010-05-14,6319772.688865905
2010-05-17,6256341.47496744
2010-05-18,6253458.794158513
2010-05-19,6171515.230818718
2010-05-20,6118452.950709473
2010-05-21,5983813.464896426
2010-05-24,6048482.541636985
2010-05-25,5975103.611855719
2010-05-26,6016617.370112176
2010-05-27,6000434.680606204
2010-05-28,6147734.162997667
2010-06-01,6079779.8024209
2010-06-02,5998975.436607328
2010-06-03,6089765.145268391
2010-06-04,6113630.308552814
2010-06-07,5963715.849525542
2010-06-08,5870098.014530677
2010-06-09,5938560.295856118
2010-06-10,5905464.540344995
2010-06-11,6010106.607799893
2010-06-14,6069353.414462508
2010-06-15,6048960.256953193
2010-06-16,6118892.766824985
2010-06-17,6112196.491917832
2010-06-18,6127255.873697934
2010-06-21,6103524.412882769
2010-06-22,6105184.125370222
2010-06-23,6052786.7747875815
2010-06-24,6056234.410258227
2010-06-25,6030094.922339486
2010-06-28,6023687.174353542
2010-06-29,5997102.992233713
2010-06-30,5917021.17572911
2010-07-01,5867814.756291714
2010-07-02,5847372.041945899
2010-07-06,5766561.320037423
2010-07-07,5765744.487922993
2010-07-08,5858834.342898549
2010-07-09,5917407.975663683
2010-07-12,5896742.875945968
2010-07-13,5929992.299270112
2010-07-14,5964223.099691711
2010-07-15,5936998.102975211
2010-07-16,5935323.971474998
2010-07-19,5841430.236396138
2010-07-20,5840201.21074804
2010-07-21,5873861.827137913
2010-07-22,5838818.276767103
2010-07-23,5931772.274025188
2010-07-26,5977825.861746936
2010-07-27,5988194.432362409
2010-07-28,5971740.5487978775
2010-07-29,5981290.029955071
2010-07-30,5977156.539836264
2010-08-02,5943555.832054003
2010-08-03,6005465.053915817
2010-08-04,5988287.001919292
2010-08-05,5999639.857639009
2010-08-06,5997463.195169721
2010-08-09,5985805.340629157
2010-08-10,5966003.666814435
2010-08-11,5935489.961370942
2010-08-12,5858026.676788445
2010-08-13,5831534.366124572
2010-08-16,5834826.404785453
2010-08-17,5830420.326078393
2010-08-18,5873387.377617371
2010-08-19,5862912.172427386
2010-08-20,5827205.715453095
2010-08-23,5800893.485100878
2010-08-24,5792658.985816249
2010-08-25,5759187.332895052
2010-08-26,5770864.069230374
2010-08-27,5761809.016161436
2010-08-30,5805144.694685005
2010-08-31,5768549.539202067
2010-09-01,5751395.975634943
2010-09-02,5849109.1638225345
2010-09-03,5876523.888301464
2010-09-07,5905298.977210414
2010-09-08,5869988.749567745
2010-09-09,5881036.767791389
2010-09-10,5892454.177003568
2010-09-13,5928175.8276773095
2010-09-14,5982311.442968919
2010-09-15,5954126.248315543
2010-09-16,5957052.807837196
2010-09-17,5969404.224799046
2010-09-20,5987433.686221615
2010-09-21,6023842.470518096
2010-09-22,6017067.292815022
2010-09-23,6003498.778130911
2010-09-24,5979410.671644333
2010-09-27,6070119.385034037
2010-09-28,6078019.164542436
2010-09-29,6110022.602322402
2010-09-30,6125560.289404717
2010-10-01,6114749.560900358
2010-10-04,6113124.391560815
2010-10-05,6087763.264912277
2010-10-06,6148761.064507229
2010-10-07,6142139.2259394005
2010-10-08,6156718.60241574
2010-10-11,6181068.729928909
2010-10-12,6184462.677667857
2010-10-13,6216524.322638031
2010-10-14,6249308.716504131
2010-10-15,6229022.004787379
2010-10-18,6242632.888053744
2010-10-19,6253797.737957066
2010-10-20,6207098.042325116
2010-10-21,6219915.810179737
2010-10-22,6237691.3493385045
2010-10-25,6254011.5871953685
2010-10-26,6280559.3134328015
2010-10-27,6280093.97724389
2010-10-28,6252723.040109958
2010-10-29,6233832.477700987
2010-11-01,6231977.154315257
2010-11-02,6261456.359711875
2010-11-03,6283812.22369334
2010-11-04,6302577.050242261
2010-11-05,6376578.813573025
2010-11-08,6419800.919224295
2010-11-09,6394601.209563528
2010-11-10,6385733.713255607
2010-11-11,6400920.441923863
2010-11-12,6380603.727659574
2010-11-15,6333193.712093315
2010-11-16,6315451.324237048
2010-11-17,6254894.47795203
2010-11-18,6251954.922941504
2010-11-19,6314030.094913727
2010-11-22,6342410.194895061
2010-11-23,6350395.263236844
2010-11-24,6291507.238977335
2010-11-26,6395218.698554005
2010-11-29,6333793.639092598
2010-11-30,6358502.3220132785
2010-12-01,6288014.135654274
2010-12-02,6349837.260449441
2010-12-03,6418108.475174847
2010-12-06,6460214.921106431
2010-12-07,6458115.670654226
2010-12-08,6446907.890334595
2010-12-09,6477558.823526283
2010-12-10,6500066.2196999835
2010-12-13,6518526.99043137
2010-12-14,6503604.97795878
2010-12-15,6504923.592624181
2010-12-16,6498922.602035978
2010-12-17,6543298.006334933
2010-12-20,6563268.614030949
2010-12-21,6577856.30730543
2010-12-22,6594749.107051047
2010-12-23,6607090.858716068
2010-12-27,6617784.795910319
2010-12-28,6612251.490479794
2010-12-29,6656411.325213668
2010-12-30,6665046.549265105
2010-12-31,6660700.510706433
2011-01-03,6699576.55630093
2011-01-04,6716409.248191606
2011-01-05,6717424.831917001
2011-01-06,6728157.945213184
2011-01-07,6726719.990183488
2011-01-10,6730242.2550645685
2011-01-11,6719672.21924532
2011-01-12,6740760.156422159
2011-01-13,6736838.849224798
2011-01-14,6731530.848569011
2011-01-18,6752963.204239128
2011-01-19,6747624.561082017
2011-01-20,6730814.465971981
2011-01-21,6726722.287453016
2011-01-24,6741406.087158759
2011-01-25,6738243.914670332
2011-01-26,6762327.664518121
2011-01-27,6775159.537276159
2011-01-28,6769894.603052655
2011-01-31,6751642.088923586
2011-02-01,6737269.755960138
2011-02-02,6759175.107592884
2011-02-03,6748338.0793372765
2011-02-04,6782440.458040438
2011-02-07,6781916.70953096
2011-02-08,6811156.603642418
2011-02-09,6809792.880283626
2011-02-10,6798443.2677504085
2011-02-11,6788160.031830598
2011-02-14,6824253.5661581205
2011-02-15,6850571.414915042
2011-02-16,6844235.032368829
2011-02-17,6830707.850301991
2011-02-18,6836409.549147177
2011-02-22,6829349.870030077
2011-02-23,6747802.465267887
2011-02-24,6761017.713330711
2011-02-25,6796149.175559406
2011-02-28,6772155.09175528
2011-03-01,6774920.520147596
2011-03-02,6720690.720852548
2011-03-03,6707961.893677967
2011-03-04,6773322.729065135
2011-03-07,6741605.047790511
2011-03-08,6695183.064043225
2011-03-09,6720689.9086025115
2011-03-10,6700541.765130472
2011-03-11,6652171.779449884
2011-03-14,6661680.606845512
2011-03-15,6615654.583325099
2011-03-16,6631513.431587929
2011-03-17,6559319.023803044
2011-03-18,6605839.217146368
2011-03-21,6623773.938554816
2011-03-22,6667555.423108385
2011-03-23,6656278.898996957
2011-03-24,6662438.910188435
2011-03-25,6690197.675944715
2011-03-28,6661532.5562399365
2011-03-29,6660938.1989218565
2011-03-30,6660621.155888785
2011-03-31,6706576.838343711
2011-04-01,6696159.93740242
2011-04-04,6728138.858587607
2011-04-05,6721426.141801423
2011-04-06,6734579.320822019
2011-04-07,6731104.806715567
2011-04-08,6723454.9868104495
2011-04-11,6702845.824328155
2011-04-12,6650647.840513699
2011-04-13,6636368.496289706
2011-04-14,6638525.52188688
2011-04-15,6690284.055654631
2011-04-18,6711018.501988676
2011-04-19,6642873.437053725
2011-04-20,6684163.005279989
2011-04-21,6706630.5225589555
2011-04-25,6716954.044526249
2011-04-26,6712957.174884074
2011-04-27,6746292.62074442
2011-04-28,6783904.1781432945
2011-04-29,6819377.067017563
2011-05-02,6827032.011963249
2011-05-03,6757147.945429078
2011-05-04,6742801.379630499
2011-05-05,6713924.799966558
2011-05-06,6667973.725205347
2011-05-09,6706224.124798775
2011-05-10,6735512.884712566
2011-05-11,6729696.392062429
2011-05-12,6753614.047995964
2011-05-13,6749999.073944509
2011-05-16,6677376.073946369
2011-05-17,6637055.5843196735
2011-05-18,6647993.570478454
2011-05-19,6679848.725854806
2011-05-20,6705996.392885137
2011-05-23,6639916.678692911
2011-05-24,6573955.334431631
2011-05-25,6557076.986730927
2011-05-26,6551391.528792095
2011-05-27,6587823.6221119
2011-05-31,6651160.673021101
2011-06-01,6760216.226994675
2011-06-02,6637163.199520322
2011-06-03,6626756.22370498
2011-06-06,6549050.711173614
2011-06-07,6525094.569840526
2011-06-08,6473924.449224889
2011-06-09,6423664.697312194
2011-06-10,6482206.216944032
2011-06-13,6396822.5368163325
2011-06-14,6415349.484251792
2011-06-15,6469022.7113287775
2011-06-16,6346023.4834694145
2011-06-17,6346282.5847314
2011-06-20,6369340.509324744
2011-06-21,6431188.247928864
2011-06-22,6459207.903533596
2011-06-23,6424376.917692571
2011-06-24,6477153.880847458
2011-06-27,6385126.898306485
2011-06-28,6421129.691306534
2011-06-29,6446391.70564472
2011-06-30,6504239.185932996
2011-07-01,6525814.442674677
2011-07-05,6572747.591436427
2011-07-06,6566192.992558278
2011-07-07,6588491.312856036
2011-07-08,6645578.031709069
2011-07-11,6607163.826881459
2011-07-12,6537821.943636478
2011-07-13,6575247.427445497
2011-07-14,6598034.554269369
2011-07-15,6584265.072217974
2011-07-18,6578425.934533664
2011-07-19,6541628.623972532
2011-07-20,6605481.47497142
2011-07-21,6572958.042482064
2011-07-22,6641568.35777319
2011-07-25,6629781.131719109
2011-07-26,6578752.216062793
2011-07-27,6538624.5732220905
2011-07-28,6429636.894737863
2011-07-29,6438545.472928971
2011-08-01,6393553.3368859375
2011-08-02,6360392.423247442
2011-08-03,6198487.129778074
