date,portfolio_value
2025-01-02,1000079.3650793651
2025-01-03,1000158.736457546
2025-01-06,1000238.1141350426
2025-01-07,1000317.498112355
2025-01-08,1000396.888389983
2025-01-10,1000476.2849684267
2025-01-13,1000555.6878481861
2025-01-14,1000635.0970297614
2025-01-15,1000714.5125136527
2025-01-16,1000793.9343003602
2025-01-17,1000873.362390384
2025-01-21,1000952.7967842245
2025-01-22,1001032.237482382
2025-01-23,1001111.6844853568
2025-01-24,1001191.1377936492
2025-01-27,1001270.5974077599
2025-01-28,1001350.0633281891
2025-01-29,1001429.5355554373
2025-01-30,1001509.0140900052
2025-01-31,1001588.4989323933
2025-02-03,1001667.9900831021
2025-02-04,1001747.4875426325
2025-02-05,1001826.9913114851
2025-02-06,1001906.5013901605
2025-02-07,1001986.0177791597
2025-02-10,1002065.5404789834
2025-02-11,1002145.0694901325
2025-02-12,1002224.6048131079
2025-02-13,1002304.1464484105
2025-02-14,1002383.6943965413
2025-02-18,1002463.2486580014
2025-02-19,1002542.8092332918
2025-02-20,1002622.3761229134
2025-02-21,1002701.9493273676
2025-02-24,1002781.5288471555
2025-02-25,1002861.1146827783
2025-02-26,1002940.7068347372
2025-02-27,1003020.3053035336
2025-02-28,1003099.9100896688
2025-03-03,1003179.5211936441
2025-03-04,1003259.1386159611
2025-03-05,1003338.7623571211
2025-03-06,1003418.3924176256
2025-03-07,1003498.0287979762
2025-03-10,1003577.6714986744
2025-03-11,1003657.320520222
2025-03-12,1003736.9758631204
2025-03-13,1003816.6375278714
2025-03-14,1003896.3055149768
2025-03-17,1003975.9798249383
2025-03-18,1004055.6604582578
2025-03-19,1004135.347415437
2025-03-20,1004215.0406969779
2025-03-21,1004294.7403033824
2025-03-24,1004374.4462351525
2025-03-25,1004454.1584927903
2025-03-26,1004533.8770767977
2025-03-27,1004613.6019876768
2025-03-28,1004693.3332259298
2025-03-31,1004773.0707920588
2025-04-01,1004852.8146865661
2025-04-02,1004932.564909954
2025-04-03,1005012.3214627246
2025-04-04,1005092.0843453803
2025-04-07,1005171.8535584236
2025-04-08,1005251.6291023567
2025-04-09,1005331.4109776823
2025-04-10,1005411.1991849028
2025-04-11,1005490.9937245207
2025-04-14,1005570.7945970385
2025-04-15,1005650.601802959
2025-04-16,1005730.4153427846
2025-04-17,1005810.2352170182
2025-04-21,1005890.0614261624
2025-04-22,1005969.89397072
2025-04-23,1006049.7328511939
2025-04-24,1006129.5780680869
2025-04-25,1006209.4296219018
2025-04-28,1006289.2875131416
2025-04-29,1006369.1517423093
2025-04-30,1006449.022309908
2025-05-01,1006528.8992164405
2025-05-02,1006608.78246241
2025-05-05,1006688.6720483197
2025-05-06,1006768.5679746728
2025-05-07,1006848.4702419724
2025-05-08,1006928.3788507218
2025-05-09,1007008.2938014242
2025-05-12,1007088.2150945831
2025-05-13,1007168.1427307017
2025-05-14,1007248.0767102835
2025-05-15,1007328.0170338319
2025-05-16,1007407.9637018505
2025-05-19,1007487.9167148427
2025-05-20,1007567.8760733121
2025-05-21,1007647.8417777624
2025-05-22,1007727.8138286972
2025-05-23,1007807.7922266201
2025-05-27,1007887.776972035
2025-05-28,1007967.7680654455
2025-05-29,1008047.7655073554
